distance_ticks,count
0,4668
1,2543
2,984
3,558
4,510
5,373
6,337
7,289
8,397
9,506
10,395
11,247
12,197
13,240
14,202
15,193
16,122
17,106
18,106
19,66
20,41
21,26
22,34
23,29
24,13
25,41
26,14
27,17
28,12
29,24
30,21
31,43
32,40
33,59
34,132
35,255
36,190
37,206
38,246
39,199
40,103
41,92
42,85
43,90
44,95
45,44
46,25
47,15
48,4
49,6
50,10
51,6
52,1
53,4
54,3
55,9
56,3
57,2
58,3
59,4
60,5
61,3
64,3
65,4
66,2
67,1
68,5
70,4
71,3
72,3
73,7
74,1
75,3
76,2
78,1
79,3
80,2
81,3
82,1
83,1
84,2
85,3
87,2
88,1
89,2
90,1
92,4
93,5
94,3
95,2
96,2
98,3
99,4
100,6
101,6
102,5
103,3
104,2
105,1
107,3
108,7
110,4
111,1
112,1
115,3
119,4
120,1
121,2
122,6
123,2
124,5
125,2
126,8
127,12
128,22
129,18
130,53
131,55
132,79
133,99
134,152
135,161
136,91
137,62
138,11
139,5
140,1
141,6
142,7
143,1
144,4
145,4
146,2
148,1
149,2
150,3
155,3
162,4
164,1
173,1
176,1
184,1
188,3
189,1
191,1
192,1
201,2
203,1
208,1
209,1
213,1
214,3
218,1
219,2
227,1
239,1
240,1
241,4
251,1
269,1
274,1
279,4
300,1
311,3
312,1
314,1
317,1
321,2
326,1
334,1
335,2
336,1
343,1
345,2
346,2
347,4
349,2
353,1
356,1
365,2
371,5
380,2
392,7
395,30
397,1
403,1
405,1
434,1
437,5
439,1
455,1
458,2
472,3
480,1
481,1
485,3
511,1
514,1
519,1
521,6
527,24
529,6
531,1
559,1
664,1
755,1
809,1
840,1
985,1
