quantity,count
1,1475
2,23692
3,105
4,87
5,226
6,81
7,60
8,44
9,147
10,871
11,179
12,184
13,152
14,110
15,207
16,102
17,163
18,118
19,108
20,917
21,112
22,92
23,86
24,71
25,112
26,90
27,97
28,220
29,38
30,135
31,84
32,97
33,97
34,76
35,64
36,59
37,23
38,54
39,51
40,197
41,183
42,164
43,178
44,123
45,169
46,161
47,85
48,123
49,69
50,511
51,115
52,84
53,54
54,71
55,62
56,62
57,93
58,96
59,93
60,130
61,99
62,342
63,99
64,102
65,79
66,69
67,308
68,46
69,60
70,184
71,49
72,111
73,109
74,127
75,88
76,107
77,110
78,371
79,143
80,88
81,184
82,64
83,65
84,47
85,55
86,39
87,63
88,52
89,57
90,70
91,52
92,41
93,39
94,22
95,40
96,31
97,34
98,69
99,30
100,198195
101,48
102,19
103,15
104,21
105,22
106,15
107,145
108,35
109,27
110,13
111,40
112,15
113,35
114,15
115,33
116,23
117,15
118,16
119,11
120,23
121,12
122,15
123,15
124,21
125,29
126,14
127,14
128,23
129,13
130,46
131,19
132,17
133,14
134,31
135,18
136,21
137,16
138,13
139,26
140,15
141,18
142,8
143,17
144,23
145,10
146,32
147,12
148,13
149,8
150,24
151,14
152,7
153,10
154,15
155,5
156,22
157,9
158,8
159,17
160,21
161,20
162,40
163,10
164,7
165,9
166,17
167,17
168,12
169,31
170,17
171,6
172,12
173,7
174,3
175,8
176,4
177,13
178,10
179,13
180,7
181,13
182,5
183,4
184,14
185,9
186,4
187,3
188,6
189,4
190,7
191,10
192,9
193,10
194,3
195,11
196,4
197,145
198,8
199,5
200,25377
201,1
202,3
203,1
205,1
206,1
207,6
208,1
209,2
210,3
211,1
212,1
213,5
214,17
215,14
216,4
218,3
219,1
220,5
221,1
222,3
223,1
224,1
225,7
226,2
228,2
229,2
230,8
231,1
232,4
233,1
234,6
235,3
237,1
238,7
239,3
240,1
241,2
242,2
243,24
244,2
245,1
249,1
250,10
251,1
252,10
253,1
254,1
257,1
258,5
259,3
260,3
261,1
262,2
264,38
265,1
266,4
267,2
269,7
270,32
271,4
272,2
273,2
274,11
275,12
276,4
278,3
279,1
280,2
281,1
282,3
283,3
286,1
289,2
291,4
292,4
294,1
295,5
297,1
298,2
299,3
300,4652
301,5
303,16
305,2
306,4
308,1
309,2
310,8
311,4
312,3
313,2
314,2
315,4
316,3
317,2
318,1
320,17
321,14
322,7
323,2
324,22
325,11
326,13
327,9
328,1
329,1
330,14
331,4
333,1
335,4
336,3
337,2
338,3
339,14
340,34
342,1
344,1
345,1
346,15
347,59
348,1
350,16
351,3
352,1
353,6
354,6
356,3
357,2
358,2
359,5
360,3
362,2
363,1
366,1
367,1
368,14
370,4
371,1
374,1
375,1
376,1
379,1
380,26
384,2
385,5
386,2
388,5
389,1
390,20
391,1
392,13
393,1
394,3
395,1
396,3
397,7
398,6
399,107
400,2366
401,3
402,5
403,4
404,1
405,1
406,1
407,111
410,5
411,3
415,2
420,25
421,1
422,1
424,2
425,2
426,1
427,3
428,3
429,1
430,26
431,1
432,2
433,1
434,1
436,11
438,1
440,16
442,1
446,1
448,2
450,38
451,5
452,1
458,3
460,13
464,1
467,2
469,2
470,7
472,1
473,5
474,41
475,93
476,46
477,64
478,33
479,54
480,77
481,32
482,94
483,98
484,42
485,15
486,11
487,1
488,59
489,2
490,5
491,1
492,2
493,3
500,8649
514,2
519,4
520,4
521,23
523,2
525,9
531,3
532,1
535,1
541,1
555,1
557,3
562,1
564,12
565,34
566,10
567,15
568,39
569,13
570,74
571,31
572,2
573,9
574,1
580,8
581,5
582,7
586,4
596,3
598,7
600,438
607,2
618,1
626,3
629,1
634,5
641,1
644,1
645,1
648,17
666,1
671,4
677,1
678,4
679,2
685,2
689,21
700,402
701,2
713,1
720,1
721,5
725,6
726,4
728,1
729,17
733,4
735,1
747,1
753,4
754,30
764,10
777,1
778,1
782,832
786,2
800,308
804,1
811,4
812,46
813,174
814,148
815,130
816,54
817,175
818,59
819,99
820,89
821,38
822,11
823,91
824,143
825,65
826,52
827,116
828,79
829,39
830,96
831,86
832,20
833,10
834,23
835,17
836,7
837,6
838,9
839,35
840,58
841,108
842,143
843,192
844,287
845,214
846,232
847,184
848,291
849,397
850,210
851,129
852,88
853,52
854,6
855,2
859,1
861,1
865,1
878,1
900,10317
910,2
914,1
926,2
927,1
928,1
932,1
944,3
948,3
952,1
967,1
968,1
970,13
972,35
984,1
998,8
1000,2351
1014,1
1020,1
1033,1
1052,2
1063,1
1080,2
1100,19
1126,1
1137,1
1138,3
1173,1
1178,4
1200,20
1238,1
1241,1
1256,1
1278,4
1290,2
1300,12
1320,2
1341,1
1360,1
1366,1
1371,1
1378,1
1385,2
1396,1
1398,1
1400,26
1404,1
1413,1
1426,1
1450,1
1458,1
1459,1
1478,1
1488,1
1493,1
1496,1
1499,1
1500,24
1548,1
1563,1
1567,1
1578,1
1593,1
1600,18
1608,1
1620,1
1686,1
1700,20
1708,2
1770,1
1778,1
1781,1
1800,78
1859,1
1866,1
1867,1
1891,1
1900,18
