distance_ticks,count
0,16191
1,4268
2,2292
3,1519
4,1014
5,839
6,872
7,1122
8,708
9,451
10,429
11,291
12,254
13,228
14,140
15,186
16,160
17,120
18,133
19,71
20,127
21,179
22,52
23,36
24,38
25,24
26,22
27,24
28,16
29,15
30,11
31,15
32,22
33,16
34,17
35,12
36,11
37,11
38,10
39,13
40,11
41,20
42,19
43,21
44,47
45,68
46,173
47,441
48,497
49,259
50,94
51,65
52,51
53,50
54,60
55,86
56,202
57,447
58,254
59,53
60,69
61,94
62,272
63,507
64,594
65,381
66,399
67,176
68,94
69,31
70,11
71,18
72,8
73,8
74,8
75,11
76,9
77,7
78,12
79,3
80,8
81,5
82,7
83,8
84,5
85,9
86,7
87,4
88,7
89,4
91,3
92,1
93,9
94,7
95,7
96,9
97,2
98,7
99,4
100,1
101,5
102,5
103,2
104,4
105,10
106,7
107,15
108,6
109,6
110,9
111,11
112,13
113,13
114,5
115,3
116,1
117,2
118,1
119,7
120,5
121,9
122,10
123,36
124,19
125,21
126,35
127,22
128,37
129,51
130,140
131,122
132,84
133,107
134,166
135,89
136,46
137,32
138,26
139,17
140,12
141,4
142,3
143,7
144,6
145,10
146,10
147,6
148,6
149,5
150,6
151,8
152,4
153,2
155,1
156,1
158,2
161,2
164,1
166,1
170,1
173,2
176,1
177,2
178,3
179,1
180,1
181,3
182,2
183,2
186,2
187,2
188,1
189,3
190,3
191,1
194,1
200,1
204,1
206,1
207,1
208,3
211,6
214,4
215,3
217,1
220,1
223,1
226,1
228,1
229,1
236,1
237,1
240,6
241,1
245,2
246,2
248,1
250,1
256,1
263,1
265,2
268,6
269,3
270,2
271,1
272,3
273,4
274,1
275,6
276,1
278,3
279,1
280,1
281,1
282,1
285,2
286,1
287,1
289,1
290,1
295,1
300,8
304,1
305,1
306,1
308,1
310,5
311,3
313,1
316,1
325,1
328,4
330,2
332,1
335,1
337,1
340,2
342,1
343,1
345,1
350,3
355,2
358,1
361,1
368,2
372,1
373,1
375,3
377,3
378,2
385,1
386,3
387,7
390,2
392,2
393,4
394,2
395,1
398,1
400,3
405,1
408,1
410,1
415,1
417,1
418,2
419,3
422,1
424,1
425,1
427,1
428,1
433,1
434,23
437,1
440,28
443,1
445,2
448,1
449,3
453,3
455,1
456,4
466,2
468,11
469,3
472,1
475,4
478,5
479,1
480,1
483,1
485,6
486,10
487,8
488,2
491,1
492,20
495,3
498,20
500,6
502,1
506,3
509,2
510,21
511,20
512,1
513,2
516,1
518,21
521,1
523,2
525,20
526,3
528,4
530,2
532,17
539,1
540,2
548,1
549,2
551,1
558,1
559,1
562,2
565,4
566,20
570,1
573,1
575,2
578,22
580,1
582,15
583,1
586,1
587,3
589,12
590,3
591,2
592,15
594,6
595,1
597,13
600,8
602,1
603,1
605,1
609,2
610,4
617,1
635,1
638,1
640,5
657,2
669,1
672,1
673,1
674,1
675,4
678,4
680,1
689,2
695,1
697,1
725,1
728,2
740,1
764,1
768,1
769,1
772,1
775,3
777,1
787,1
795,1
800,1
806,1
810,1
818,2
819,1
825,1
828,1
840,1
848,1
856,2
857,1
858,1
877,1
878,1
888,1
895,2
898,1
903,1
922,1
927,1
928,4
956,1
968,1
969,1
972,3
975,4
978,1
982,1
990,3
1000,1
1020,1
1022,4
1025,1
1028,2
1043,1
1058,1
1075,3
1078,7
1084,1
1087,3
1092,1
1094,2
1100,1
1110,2
1140,3
1178,1
1228,4
1258,1
1268,1
1278,1
1314,1
1318,3
1319,1
1394,1
1428,1
1430,1
1440,1
1475,3
1490,3
1535,1
1558,1
1610,1
1628,1
1643,1
1675,1
1696,1
1789,1
1805,1
1806,1
1895,3
2022,1
2078,1
2110,4
2159,1
2300,1
2330,1
2440,1
2628,1
2876,1
2885,1
3098,1
3100,1
3175,1
3387,1
3426,1
6152,1
6161,1
6357,1
6378,1
6449,1
6675,1
6702,1
6928,1
98228,1
122915,1
