distance_ticks,count
0,15543
1,6002
2,1767
3,983
4,732
5,553
6,415
7,453
8,377
9,273
10,206
11,142
12,75
13,93
14,177
15,220
16,217
17,177
18,66
19,71
20,146
21,208
22,189
23,211
24,50
25,25
26,19
27,25
28,29
29,40
30,75
31,122
32,191
33,149
34,204
35,94
36,41
37,54
38,54
39,73
40,105
41,165
42,188
43,193
44,184
45,132
46,68
47,45
48,10
49,16
50,13
51,7
52,3
53,6
54,4
55,12
56,7
57,7
58,18
59,11
60,6
61,12
62,6
63,9
64,4
65,9
66,6
67,6
68,1
69,12
70,3
71,7
72,7
73,3
74,2
75,2
76,3
77,5
78,38
79,32
80,3
81,3
82,33
83,2
84,5
85,5
86,4
87,6
88,2
89,2
90,3
91,3
92,1
93,6
94,2
97,1
98,1
99,1
100,1
101,1
104,1
105,3
106,2
107,1
108,1
109,1
110,1
111,1
112,1
113,2
117,2
118,1
120,1
122,1
123,1
124,4
126,1
128,5
129,4
132,1
133,3
136,1
138,4
139,1
141,1
145,2
146,3
148,3
150,3
151,3
152,1
153,43
154,32
157,31
158,27
159,31
160,31
162,34
163,5
164,8
165,1
166,2
167,1
168,4
170,34
172,27
173,4
174,28
175,4
176,4
178,2
179,1
182,2
184,1
185,1
187,2
188,1
189,2
193,2
195,2
196,2
200,1
205,4
206,23
207,5
208,3
209,23
210,1
215,1
217,1
250,1
259,2
262,1
276,1
301,1
312,1
318,31
332,2
349,1
359,1
366,7
394,1
415,1
457,1
475,1
506,1
595,1
601,1
615,1
682,1
693,1
701,1
711,1
712,1
725,1
759,1
801,1
858,1
1017,1
1019,1
1060,1
1095,2
1195,1
1201,1
1225,1
1249,1
1351,1
1485,1
1501,2
1534,1
1575,1
1596,1
1601,1
1702,1
1825,1
1895,1
1925,1
2225,1
2457,1
2501,1
2625,1
2675,1
2695,1
2725,9
2801,1
2825,2
3025,1
3595,1
3962,1
4294,1
4441,1
4449,1
4498,1
6098,1
6406,1
6725,1
8965,1
9998911,1
9999285,1
9999400,1
9999501,1
9999725,1
19999428,1
19999438,3
19999439,3
19999445,3
19999447,4
19999458,2
19999462,2
19999497,1
