quantity,count
1,81
2,44
3,32
4,30
5,58
6,19
7,13
8,13
9,24
10,345
11,24
12,31
13,30
14,43
15,49
16,22
17,15
18,14
19,28
20,58
21,22
22,13
23,25
24,12
25,31
26,15
27,4
28,11
29,11
30,71
31,41
32,3
33,5
34,1
35,6
36,8
37,6
38,4
39,3
40,14
41,11
42,1
43,3
44,5
45,3
46,1
47,7
48,1
49,5
50,205
51,4
52,13
53,8
54,10
55,8
56,6
57,2
58,2
59,1
60,5
61,1
62,7
63,2
64,3
65,3
66,2
67,3
68,2
69,9
70,14
71,3
72,3
73,1
74,5
75,3
76,2
77,3
78,5
79,4
80,6
81,1
82,1
83,12
84,4
85,1
86,2
87,3
88,4
89,1
90,18
92,4
93,2
94,12
95,3
96,1
97,5
98,5
99,3
100,22359
101,3
103,2
104,1
105,6
106,1
108,4
110,2
112,2
113,4
114,5
115,1
116,1
117,5
118,2
119,4
120,5
121,3
122,2
123,1
124,4
125,3
126,1
127,1
128,5
129,1
130,6
132,1
133,1
135,1
139,2
140,1
141,2
142,3
146,1
150,58
153,3
156,1
158,2
159,1
160,3
165,1
168,2
170,1
171,1
172,1
173,1
175,1
178,1
179,1
180,2
183,17
188,8
190,3
193,1
197,2
198,2
199,1
200,3201
203,10
204,1
206,1
216,2
219,1
225,4
226,1
227,1
240,1
243,1
245,1
246,1
250,31
252,1
253,2
255,1
256,3
259,2
260,3
263,3
266,1
267,3
271,1
273,1
277,1
283,7
285,1
286,1
287,1
290,16
291,2
294,3
295,1
297,1
298,1
299,1
300,932
301,2
304,1
306,1
310,1
314,2
320,2
330,1
335,1
340,32
347,6
348,1
350,17
351,15
354,1
356,28
358,1
375,1
376,5
381,1
387,1
390,5
393,37
399,1
400,829
403,1
406,2
410,1
418,1
428,1
435,2
437,2
442,2
443,1
450,3
459,11
460,7
461,2
467,10
469,1
470,2
490,17
492,1
493,1
494,2
498,2
500,783
510,2
512,1
515,46
519,1
520,1
527,1
528,5
541,2
545,2
550,1
555,1
560,1
597,2
600,448
603,1
606,2
607,1
614,1
617,1
620,2
642,1
643,1
655,1
661,1
662,1
697,2
700,115
705,1
733,1
741,1
744,2
747,4
750,7
760,1
762,1
763,1
769,1
772,1
783,1
790,1
800,107
842,1
846,1
847,3
850,3
865,1
870,1
881,1
900,53
904,1
924,1
943,1
958,1
975,1
991,1
998,2
1000,86
1017,1
1022,1
1072,1
1085,1
1100,28
1101,1
1200,49
1276,1
1300,67
1323,1
1378,1
1400,81
1451,1
1500,11
1505,1
1521,1
1600,5
1616,1
1670,1
1700,58
1800,187
1850,1
1900,75
1965,1
1995,2
2000,120
2053,1
2100,183
2118,3
2180,1
2200,44
2206,1
2300,4
2400,11
2425,1
2500,23
2600,19
2611,1
2616,1
2645,1
2700,50
2761,1
2800,33
2900,100
3000,51
3199,1
3212,1
3219,1
3300,2
3331,1
3502,1
3890,1
3900,2
4000,5
4069,1
4100,1
4500,1
4569,3
4900,25
5000,1
5400,1
6000,1
6087,2
6631,2
9700,1
10000,3
10090,1
10900,1
11000,1
15444,1
17500,1
20443,1
30000,2
35000,2
40000,1
102600,1
