quantity,count
1,1738
2,441
3,507
4,199
5,413
6,103
7,118
8,76
9,94
10,1208
11,384
12,589
13,294
14,440
15,662
16,185
17,248
18,200
19,161
20,374
21,1895
22,119
23,165
24,192
25,516
26,143
27,129
28,365
29,143
30,243
31,114
32,92
33,144
34,108
35,121
36,106
37,103
38,85
39,132
40,163
41,116
42,119
43,94
44,111
45,88
46,131
47,106
48,351
49,202
50,841
51,147
52,223
53,150
54,423
55,690
56,239
57,357
58,1087
59,298
60,272
61,127
62,177
63,151
64,213
65,189
66,157
67,153
68,147
69,106
70,145
71,183
72,157
73,140
74,123
75,150
76,136
77,114
78,98
79,82
80,121
81,169
82,136
83,54
84,107
85,202
86,145
87,267
88,92
89,155
90,150
91,135
92,147
93,93
94,63
95,131
96,59
97,95
98,55
99,116
100,375459
101,28
102,33
103,47
104,39
105,956
106,49
107,30
108,30
109,22
110,58
111,19
112,27
113,84
114,29
115,62
116,45
117,29
118,14
119,26
120,38
121,69
122,26
123,25
124,23
125,14
126,17
127,17
128,9
129,5
130,22
131,8
132,9
133,8
134,15
135,76
136,13
137,41
138,182
139,44
140,24
141,18
142,18
143,19
144,23
145,40
146,451
147,18
148,18
149,38
150,471
151,16
152,21
153,19
154,609
155,72
156,9
157,5
158,2226
159,7
160,7
161,5
162,12
163,9
164,3
165,18
166,11
167,5
168,4
169,6
170,8
171,4
172,7
173,3
174,9
175,19
176,9
177,17
178,5
179,7
180,14
181,23
182,8
183,10
184,10
185,14
186,3
187,9
188,8
189,19
190,22
191,7
192,8
193,5
194,9
195,10
196,16
197,14
198,10
199,17
200,51402
201,9
202,5
203,5
204,6
205,6
206,11
207,6
208,6
209,4
210,16
211,8
212,11
213,5
214,4
215,2
216,3
217,1
218,3
219,17
220,58
221,27
222,21
223,26
224,20
225,16
226,9
227,36
228,19
229,22
230,20
231,13
232,25
233,14
234,19
235,10
236,26
237,25
238,16
239,22
240,25
241,47
242,20
243,15
244,10
245,12
246,17
247,16
248,7
249,11
250,234
251,2
252,4
253,5
254,7
255,3
256,5
257,3
258,2
259,6
260,24
261,8
262,5
263,18
264,19
265,8
266,10
267,6
268,5
269,20
270,51
271,37
272,39
273,5
274,11
275,12
276,20
277,38
278,85
279,131
280,17
281,6
282,13
283,6
284,12
285,7
286,10
287,3
288,6
289,10
290,8
291,11
292,15
293,31
294,31
295,31
296,27
297,28
298,15
299,10
300,20287
301,13
302,31
303,10
304,5
305,8
306,15
307,11
308,3
309,21
310,98
311,19
312,6
313,17
314,14
315,10
316,15
317,26
318,1
319,1
320,182
321,22
322,6
323,14
324,22
325,22
326,41
327,25
328,9
329,16
330,150
331,23
332,15
333,6
334,2
335,8
336,10
337,12
338,2
339,15
340,135
341,1
342,1
343,9
344,23
345,6
346,15
347,27
348,27
349,7
350,221
351,23
352,38
353,9
354,11
355,7
356,3
357,7
358,2
359,26
360,291
361,7
362,7
363,9
364,4
365,9
366,16
367,18
368,19
369,9
370,148
371,6
373,17
374,12
375,12
376,12
377,12
378,20
379,24
380,177
381,6
382,12
384,37
385,12
386,16
388,6
389,1
390,104
391,4
392,8
393,2
394,2
395,22
396,22
397,8
398,10
399,6
400,10726
401,1
402,7
403,2
404,1
405,5
406,7
407,3
408,12
409,1
410,195
411,4
412,36
413,3
414,11
415,31
416,10
417,1
419,24
420,110
421,35
422,3
423,4
424,6
425,4
426,5
427,17
428,22
429,4
430,138
431,13
432,2
433,12
434,10
435,3
436,13
437,91
438,4
439,12
440,221
441,16
442,1
443,4
444,4
445,7
446,25
447,17
448,10
449,17
450,213
451,3
452,13
453,18
454,9
455,31
456,5
457,33
458,6
459,30
460,194
461,3
462,1
463,7
464,6
466,2
467,2
468,15
469,22
470,210
472,5
473,3
474,4
475,14
476,21
477,12
478,9
479,20
480,175
482,48
484,24
485,1
486,18
487,8
488,6
489,16
490,178
491,1
493,8
494,11
495,14
496,3
497,1
498,1
499,19
500,6361
503,1
505,1
508,1
511,2
513,4
515,1
516,2
517,1
519,13
520,1
522,20
524,3
525,62
526,1
527,4
528,8
530,2
531,2
532,62
533,1
534,3
535,1
536,1
537,1
539,2
540,1
541,1
543,1
544,6
548,2
549,2
550,39
552,4
553,1
554,1
556,2
559,1
560,2
562,2
563,2
572,15
573,1
574,2
577,1
578,2
579,2
580,2
582,2
585,1
586,2
587,1
588,14
590,3
591,3
593,13
595,3
599,1
600,3057
601,1
607,1
610,11
612,1
615,4
616,2
619,20
620,12
622,11
624,1
627,1
630,9
631,55
632,15
637,1
638,1
640,13
642,18
643,4
644,14
645,1
647,1
648,1
649,1
650,25
652,4
656,2
657,2
658,1
659,1
660,22
663,2
664,1
666,5
670,7
672,1
674,1
675,1
676,1
680,2
681,1
682,1
684,2
687,1
689,3
690,18
691,1
692,1
693,2
695,10
696,3
697,6
698,1
700,2484
703,4
705,1
706,1
709,1
710,41
714,1
718,1
719,15
720,9
721,1
722,1
723,1
726,1
727,16
728,16
731,2
732,1
733,3
734,1
738,1
739,1
740,21
744,1
746,2
747,2
749,9
750,54
751,1
752,1
754,1
756,2
757,1
758,1
759,2
760,4
761,1
762,7
764,8
766,2
767,3
768,2
769,1
770,10
772,4
773,3
774,15
775,2
777,2
778,5
779,1
780,12
781,2
782,1
784,11
785,1
786,1
787,1
788,1
789,3
790,3
792,1
795,2
796,3
797,2
800,2758
802,8
803,1
804,1
807,2
808,2
810,6
812,1
814,1
815,2
816,1
817,1
818,3
820,19
821,9
822,2
824,10
825,1
826,1
827,11
828,1
829,1
830,26
831,2
833,1
834,1
835,2
836,1
837,5
839,8
840,15
842,2
843,1
844,1
845,2
846,1
847,11
848,1
850,23
851,1
855,4
856,1
858,1
859,1
860,10
861,2
862,1
863,6
864,2
866,1
868,9
869,2
870,2
871,1
872,1
873,1
875,21
876,1
877,16
878,1
879,5
880,6
881,3
882,1
883,1
885,1
886,1
890,21
891,1
894,3
895,4
896,1
897,1
898,1
899,1
900,1724
901,1
902,2
903,1
905,1
906,1
910,2
912,1
913,7
916,1
918,1
919,37
920,4
921,13
922,1
924,3
925,2
927,1
928,1
929,1
930,18
932,1
934,1
935,2
936,1
937,2
938,2
939,2
940,11
941,1
942,4
945,2
947,1
948,2
949,2
950,29
951,1
952,7
955,1
957,2
960,2
961,1
962,1
963,1
964,1
966,3
968,2
969,1
970,12
972,1
974,2
975,5
976,2
977,1
978,2
979,2
980,16
981,1
982,5
985,2
986,1
987,1
988,1
989,1
990,11
991,2
992,2
993,1
995,2
996,1
998,11
999,1
1000,5230
1001,3
1002,1
1003,1
1005,1
1006,1
1007,2
1009,2
1012,1
1013,4
1014,1
1015,4
1016,1
1019,2
1021,1
1022,1
1023,1
1025,4
1026,1
1028,2
1030,1
1031,3
1032,2
1035,2
1037,1
1038,1
1039,2
1040,1
1042,1
1043,1
1045,1
1047,1
1048,2
1049,1
1050,4
1051,1
1053,1
1054,1
1055,1
1056,2
1058,2
1060,1
1061,1
1062,2
1063,1
1065,2
1066,2
1068,1
1069,1
1070,1
1071,1
1073,1
1074,2
1075,3
1076,2
1077,2
1078,1
1079,1
1080,1
1082,1
1083,1
1084,3
1086,2
1087,1
1088,1
1089,1
1090,1
1091,2
1092,3
1093,1
1094,2
1095,2
1096,2
1097,2
1098,1
1099,2
1100,244
1101,2
1102,1
1104,2
1105,2
1106,2
1108,1
1109,1
1110,1
1111,1
1115,1
1116,2
1117,2
1118,1
1119,2
1120,2
1121,1
1122,1
1124,1
1125,1
1126,1
1127,1
1140,1
1150,2
1155,1
1163,1
1166,1
1169,1
1200,207
1210,1
1220,1
1238,1
1250,4
1254,1
1256,1
1260,1
1265,1
1270,1
1300,108
1324,1
1340,1
1345,1
1349,1
1350,1
1388,1
1400,89
1402,1
1416,4
1418,1
1446,1
1462,1
1470,45
1473,1
1478,1
1499,1
1500,635
1505,1
1513,1
1515,2
1516,1
1517,1
1541,1
1559,1
1565,6
1567,1
1571,5
1572,1
1576,3
1577,3
1580,3
1581,1
1582,2
1583,1
1584,1
1585,1
1587,1
1588,2
1589,1
1591,1
1592,1
1595,2
1596,1
1597,1
1598,1
1599,2
1600,46
1601,1
1602,1
1603,3
1604,1
1605,3
1606,2
1607,1
1609,2
1611,1
1612,1
1613,1
1614,1
1615,1
1617,2
1618,1
1620,1
1629,1
1656,1
1678,1
1679,1
1697,1
1698,2
1700,74
1723,1
1730,1
1751,1
1763,1
1764,1
1766,1
1769,1
1773,1
1788,1
1791,1
1800,18
1802,1
1818,1
1846,1
1869,1
1870,4
1875,2
1882,2
1889,1
1899,2
1900,20
1961,1
1963,1
1977,1
1979,1
1989,1
1995,1
2000,494
2054,1
2058,24
2100,10
2124,1
2200,7
2209,1
2281,2
2300,7
2400,5
2442,1
2500,12
2504,1
2559,1
2600,6
2700,2
2750,8
2758,1
2800,8
2900,2
2950,1
2985,1
3000,14
3039,1
3087,1
3100,5
3130,1
3138,3
3200,1
3300,38
3400,4
3500,2
3532,1
3543,1
3580,1
3600,2
3643,1
3800,1
3900,2
4000,1
4064,1
4200,1
4300,2
4400,1
4500,1
4675,1
4700,1
5200,1
5400,1
5441,2
5600,1
6000,2
7100,1
7500,5
8000,2
10000,4
12578,1
14085,1
14600,1
17592,1
19700,1
22143,1
23200,1
24109,1
29710,1
33800,1
38071,1
38100,1
509904,1
