quantity,count
1,1057
2,232
3,716
4,97
5,1036
6,122
7,47
8,70
9,49
10,1052
11,67
12,87
13,56
14,59
15,297
16,57
17,87
18,109
19,157
20,250
21,43
22,32
23,28
24,83
25,55
26,57
27,69
28,109
29,103
30,744
31,40
32,72
33,22
34,30
35,6
36,26
37,47
38,20
39,14
40,38
41,13
42,53
43,8
44,16
45,28
46,10
47,29
48,8
49,13
50,180
51,11
52,12
53,12
54,17
55,18
56,10
57,7
58,6
59,6
60,33
61,36
62,21
63,14
64,103
65,15
66,20
67,21
68,15
69,13
70,11
71,2
72,1
73,11
74,9
75,5
77,5
78,4
79,3
80,12
81,1
82,5
83,3
84,10
85,5
86,11
87,4
88,9
89,4
90,11
91,25
92,16
93,10
94,12
95,18
96,13
97,11
98,9
99,28
100,36898
101,9
102,10
103,5
104,6
105,46
106,5
107,48
108,4
109,4
110,4
111,8
112,83
113,118
114,2
117,2
118,2
119,1
120,1
121,1
123,2
124,1
125,2
128,115
129,2
130,1
131,124
132,5
136,126
141,1
144,2
145,63
146,74
147,56
149,4
150,3
154,1
157,6
160,2
161,1
167,1
171,1
175,1
180,1
181,7
185,8
198,1
200,1298
207,4
210,1
215,3
223,1
238,1
240,1
241,2
250,3
260,1
289,1
300,388
325,4
360,2
372,2
400,38
434,2
466,3
490,4
498,6
500,41
510,1
511,1
532,1
600,80
666,1
700,1
800,1
931,2
1000,53
1026,1
1095,1
1400,1
1500,1
1518,2
2000,1
2009,1
3500,1
4000,5
4147,1
4690,1
5007,1
5100,2
5134,2
5800,2
9100,2
9155,2
12000,1
15000,1
17000,3
18000,1
20000,1
22000,1
