quantity,count
1,230
2,55
3,24
4,33
5,118
6,11
7,10
8,30
9,11
10,68
11,13
12,9
13,16
14,13
15,34
16,8
17,1
18,3
19,4
20,52
21,5
22,45
23,6
24,7
25,7
26,3
27,4
28,3
29,6
30,217
31,51
32,8
33,3
34,3
35,66
36,6
38,2
39,7
40,31
41,4
42,2
43,2
44,5
46,16
47,16
48,10
49,65
50,42
51,5
52,9
53,4
54,2
55,3
56,12
57,4
59,13
60,44
61,2
62,3
63,3
64,2
65,4
67,3
68,2
69,1
70,52
73,6
74,1
75,6
76,1
77,4
78,53
79,4
80,9
81,3
82,64
83,11
84,2
85,3
86,2
87,1
88,3
89,7
90,5
91,1
92,1
93,2
94,2
95,3
96,2
97,8
98,4
99,5
100,11462
101,1
104,1
105,1
107,2
108,2
109,2
114,1
118,62
120,1
122,1
124,8
131,1
133,10
134,1
138,2
139,1
143,2
145,1
147,1
148,1
154,2
156,2
158,1
162,1
164,1
165,198
167,9
169,51
174,1
175,1
178,1
185,1
187,1
188,1
196,2
198,1
200,2776
205,1
214,1
220,2
245,1
253,1
262,30
264,56
271,43
279,16
284,1
290,25
300,146
301,23
304,8
321,1
338,1
365,1
400,171
417,1
450,1
480,2
500,98
504,1
576,2
582,4
600,11
700,6
800,30
900,21
1000,1
1200,1
1300,4
1400,1
5437,1
9409,1
