quantity,count
1,62
2,8
3,5
4,6
5,27
6,1
7,21
8,1
9,2
10,13
11,2
12,3
13,3
14,1
15,12
16,5
17,7
18,5
19,7
20,5
21,1
22,3
23,4
24,1
25,4
26,4
27,2
28,2
29,3
30,6
31,1
33,3
34,4
35,1
36,2
37,4
38,3
40,3
41,2
43,2
44,3
45,3
46,1
47,1
50,2
53,1
54,4
55,1
56,2
57,2
59,4
60,6
61,2
62,3
63,2
64,3
65,3
66,3
69,1
70,3
72,2
73,3
74,1
75,2
77,2
79,1
80,1
81,2
82,2
83,4
85,3
86,3
90,5
92,1
93,3
94,1
95,8
96,2
97,3
98,3
99,9
100,209
101,1
109,1
117,1
140,1
163,1
174,1
190,2
193,1
195,1
200,11
207,1
235,1
274,1
300,2
400,1
500,1
501,1
600,2
700,1
1000,1
1200,1
1700,1
1900,1
2300,1
5000,1
