quantity,count
1,397
2,44
3,21
4,8
5,76
6,13
7,41
8,3
9,5
10,76
11,11
12,4
13,1
14,6
15,269
16,21
17,11
18,27
19,41
20,95
21,20
22,33
23,31
24,46
25,17
26,48
27,16
28,33
29,52
30,870
31,2
32,9
33,1
34,2
35,1
36,9
37,5
38,4
39,2
40,47
41,2
42,3
43,1
44,3
45,1
46,4
47,16
48,1
49,3
50,12
51,3
52,2
53,10
54,11
55,1
56,4
57,1
58,1
60,10
63,3
65,1
66,8
68,1
69,5
70,1
71,7
72,5
73,1
74,6
75,1
76,3
77,4
78,2
79,3
80,3
81,15
82,28
83,3
84,1
85,1
86,1
87,1
88,40
89,1
90,13
91,5
92,8
93,4
94,5
95,10
96,5
97,30
98,19
99,18
100,15774
101,2
102,5
103,3
104,3
105,2
106,6
107,12
108,3
109,5
110,1
112,2
113,5
117,2
118,2
119,1
120,3
121,4
122,2
124,1
125,3
127,1
132,1
134,14
137,1
141,17
142,1
144,1
150,15
159,1
160,1
171,1
173,2
175,7
180,1
186,46
189,1
190,3
193,3
195,1
199,1
200,3521
207,22
232,38
240,1
250,1
271,8
286,4
289,3
295,1
300,279
351,15
356,1
360,2
361,49
363,76
388,19
400,279
412,4
417,108
445,1
480,4
485,2
500,254
509,1
596,1
600,54
614,1
700,62
800,19
900,21
1000,49
1100,11
1200,7
1300,1
1400,1
1500,1
3100,1
5900,1
8000,3
