quantity,count
1,2229
2,1219
3,591
4,124
5,738
6,194
7,92
8,137
9,101
10,1382
11,31
12,84
13,205
14,235
15,533
16,161
17,69
18,61
19,63
20,290
21,95
22,73
23,57
24,69
25,103
26,59
27,63
28,139
29,56
30,468
31,47
32,25
33,55
34,129
35,35
36,9
37,50
38,11
39,33
40,45
41,24
42,39
43,43
44,25
45,34
46,34
47,17
48,31
49,27
50,535
51,34
52,24
53,68
54,75
55,52
56,27
57,14
58,20
59,28
60,35
61,13
62,49
63,8
64,100
65,32
66,16
67,29
68,13
69,7
70,21
71,26
72,8
73,56
74,8
75,25
76,9
77,13
78,4
79,10
80,45
81,23
82,15
83,20
84,5
85,16
86,43
87,7
88,7
89,15
90,28
91,43
92,486
93,94
94,25
95,58
96,13
97,60
98,22
99,37
100,74132
101,2
102,4
103,3
104,1
105,3
106,160
108,314
109,1
110,20
112,1
113,76
114,2
116,9
118,5
119,5
120,88
121,2
122,2
123,268
125,3
126,1
127,2
129,1
130,1
131,1
132,2
133,3
134,2
135,1
136,1
137,1
139,2
140,98
141,90
143,1
145,49
147,1
148,3
150,5
151,1
155,1
156,1
157,1
160,1
161,2
162,1
163,1
164,1
165,4
166,146
167,3
169,2
170,1
173,1
174,1
175,2
176,1
179,8
180,2
181,5
182,1
184,1
185,1
196,1
198,2
200,2081
201,2
204,4
206,1
208,9
209,9
212,1
216,1
220,1
225,1
226,1
239,4
240,11
241,1
247,8
250,9
264,1
272,1
279,1
280,2
289,1
299,5
300,333
304,1
308,3
316,1
329,4
345,1
350,1
375,1
379,1
386,1
395,1
400,84
404,1
450,1
461,1
500,108
539,1
550,1
572,1
578,2
585,1
600,114
636,1
650,1
673,1
700,51
716,1
725,1
737,1
784,1
800,11
828,1
900,5
982,1
1000,38
1050,2
1100,1
1300,2
1400,1
1500,2
1700,2
2000,45
2040,1
2500,1
3000,1
3100,1
3200,1
4800,1
4869,4
5119,1
7900,1
