quantity,count
1,100
2,216
3,26
4,10
5,332
6,21
7,2
8,127
9,1
10,12
11,12
12,12
13,20
14,24
15,78
16,13
17,28
18,10
19,10
20,26
21,15
22,31
23,26
24,22
25,27
26,19
27,7
28,25
29,19
30,66
31,1
32,2
33,1
35,4
36,2
37,2
38,36
39,11
40,13
41,4
42,6
43,6
44,5
45,9
46,5
47,2
48,4
49,3
50,7
52,1
53,2
54,5
55,3
57,1
58,6
59,1
60,15
61,12
62,5
63,6
64,2
65,1
66,2
68,2
69,3
70,46
73,1
74,1
75,2
76,10
77,3
78,2
79,1
80,2
81,7
82,3
83,2
84,2
85,2
86,3
87,3
88,3
90,13
91,5
92,3
93,6
94,24
95,10
96,1
98,2
99,2
100,6600
101,2
102,1
103,1
109,3
110,1
112,3
117,1
122,5
125,45
126,24
133,2
135,1
140,2
142,13
146,1
150,1
159,33
162,1
164,2
175,2
182,8
190,10
191,3
197,2
200,640
201,1
235,1
239,1
250,1
300,256
345,1
350,1
358,1
360,1
377,14
385,7
390,8
400,223
402,1
407,1
409,1
410,20
420,14
426,5
430,14
440,3
441,2
446,1
450,12
460,14
465,1
466,1
469,6
470,8
472,3
473,4
476,7
480,1
486,11
488,3
489,1
490,11
500,51
520,1
600,12
700,109
706,1
800,54
900,60
979,1
1000,86
1015,1
1100,43
1200,1
1300,2
1500,3
1600,2
1611,1
1800,1
1850,1
1900,1
2000,1
2400,3
2500,2
2593,1
3000,1
5000,1
6000,1
