quantity,count
1,1493
2,171
3,125
4,65
5,158
6,47
7,63
8,80
9,89
10,477
11,92
12,29
13,36
14,52
15,326
16,31
17,55
18,49
19,57
20,214
21,38
22,66
23,12
24,45
25,29
26,56
27,44
28,37
29,42
30,492
31,25
32,10
33,6
34,4
35,21
36,30
37,8
38,19
39,34
40,10
41,7
42,15
43,7
44,17
45,10
46,38
47,4
48,11
49,11
50,17
51,12
52,11
53,7
54,10
55,3
56,7
57,6
58,9
59,17
60,12
61,6
62,9
63,3
64,13
65,2
66,22
67,14
68,11
69,5
70,25
71,14
72,4
73,1
74,4
75,9
76,7
77,7
78,6
79,4
80,23
81,7
82,7
84,24
85,7
86,5
87,1
88,4
89,9
90,14
91,5
92,4
93,15
94,12
95,15
96,5
97,8
98,3
99,27
100,31434
102,4
103,2
105,1
107,1
111,28
115,1
121,12
122,1
123,2
131,51
137,1
142,1
145,1
150,1
152,2
155,1
156,1
159,14
162,1
164,1
170,1
173,1
175,1
176,1
177,1
180,1
182,1
183,1
185,1
188,79
197,5
199,5
200,1245
202,14
203,9
250,2
266,1
270,1
272,85
277,18
278,204
281,20
295,2
299,6
300,236
317,39
321,32
360,2
400,47
451,1
480,1
500,20
506,2
525,1
600,31
700,17
800,4
824,1
840,1
1000,54
8000,1
