quantity,count
1,2148
2,893
3,298
4,188
5,344
6,142
7,63
8,113
9,323
10,1044
11,136
12,92
13,92
14,55
15,883
16,41
17,48
18,129
19,81
20,392
21,156
22,120
23,1440
24,91
25,209
26,71
27,81
28,103
29,131
30,721
31,42
32,27
33,18
34,14
35,28
36,28
37,19
38,22
39,23
40,254
41,35
42,23
43,10
44,25
45,12
46,65
47,23
48,36
49,10
50,311
51,13
52,11
53,25
54,8
55,27
56,25
57,36
58,9
59,25
60,75
61,16
62,13
63,12
64,7
65,7
66,6
67,8
68,7
69,15
70,41
71,10
72,10
73,22
74,12
75,52
76,22
77,3
78,4
79,9
80,22
81,10
82,7
83,10
84,12
85,14
86,13
87,25
88,4
89,44
90,17
91,13
92,4
93,4
94,9
95,4
96,3
97,4
98,17
99,18
100,35277
101,3
102,121
103,8
104,5
105,11
106,5
107,4
108,3
109,2
110,10
111,6
112,9
113,2
115,9
116,4
117,6
118,2
119,4
120,9
121,206
122,4
123,8
124,4
125,118
126,9
127,3
128,1
129,98
130,6
131,4
133,1
134,1
135,4
137,199
138,77
139,3
140,32
141,1
142,4
143,1
145,6
146,2
147,4
148,1
149,2
150,37
151,1
152,2
153,2
154,1
155,8
156,68
157,1
158,45
159,2
160,2
162,2
164,1
165,4
166,1
168,1
169,1
170,2
171,1
172,1
173,3
175,4
176,1
177,3
181,1
184,10
187,4
188,1
189,2
190,3
191,7
192,3
193,3
195,2
196,5
197,1
199,1
200,2599
206,1
210,1
215,1
217,1
218,1
220,22
221,5
225,5
231,2
232,3
239,1
240,5
243,2
244,1
245,1
246,1
250,13
253,1
255,1
256,1
260,5
262,2
266,1
269,1
270,1
272,1
275,4
276,1
286,1
292,1
296,1
299,3
300,177
306,2
308,1
310,3
313,1
318,1
320,1
325,1
326,1
330,2
348,1
350,2
355,1
360,1
362,2
365,3
366,1
368,1
369,1
370,2
377,1
385,3
400,79
407,1
428,1
450,1
465,1
475,1
500,100
524,1
529,11
550,2
596,1
600,7
601,6
629,1
650,3
671,3
700,58
750,3
770,7
780,8
793,1
800,21
811,1
829,1
838,1
863,3
900,5
992,2
997,1
1000,85
1097,2
1100,2
1126,8
1162,1
1168,1
1200,2
1202,2
1250,2
1253,1
1300,1
1400,2
1413,2
1500,8
1561,1
1600,1
1700,6
1910,1
2000,38
2125,4
2300,1
2368,5
2396,1
2400,2
2500,4
2700,1
2800,1
3000,2
4000,9
4400,1
5000,8
8000,3
15000,6
16000,6
25000,2
