distance_ticks,count
0,216
1,96
2,62
3,38
4,41
5,32
6,45
7,25
8,31
9,26
10,16
11,23
12,16
13,12
14,20
15,10
16,7
17,6
18,5
19,4
20,6
21,10
22,5
23,6
24,4
25,7
26,8
27,3
28,5
29,2
30,2
31,6
32,6
33,2
34,9
35,13
36,7
37,3
38,2
39,2
40,3
42,1
43,3
44,6
45,9
46,7
47,7
48,5
49,5
50,4
51,3
54,3
55,5
56,5
57,6
58,2
60,2
61,2
62,5
63,1
64,3
67,2
68,4
70,1
71,1
72,2
74,1
75,1
77,2
78,2
79,4
80,1
81,2
82,2
84,3
85,1
86,2
87,1
88,1
89,1
90,2
95,1
96,1
98,1
99,1
102,2
103,1
104,1
105,1
107,1
109,1
113,1
116,1
119,1
120,1
121,1
125,2
135,1
137,1
141,1
144,1
145,1
150,1
156,1
159,6
161,3
162,1
164,2
165,2
166,3
167,3
171,1
172,3
174,3
175,9
177,11
180,16
181,8
182,1
184,1
185,2
186,14
187,2
188,7
189,1
192,1
199,3
205,7
206,3
210,2
217,3
219,1
223,5
228,2
230,2
239,1
240,5
249,2
278,2
302,4
306,1
325,2
423,3
453,4
740,1
892,1
1286,1
