quantity,count
1,402
2,126
3,67
4,28
5,419
6,95
7,25
8,38
9,62
10,148
11,33
12,18
13,3
14,25
15,105
16,10
17,13
18,206
19,25
20,194
21,15
22,91
23,24
24,126
25,186
26,21
27,28
28,20
29,23
30,646
31,8
32,4
33,10
34,9
35,4
36,13
38,3
39,8
40,28
41,1
42,2
43,6
44,5
45,7
46,2
47,3
48,1
49,6
50,131
51,12
52,5
53,1
54,4
55,14
56,4
57,4
58,2
59,9
60,7
61,13
62,12
63,14
64,9
65,7
66,20
67,4
68,11
69,32
70,15
71,14
72,11
73,12
74,14
75,9
76,4
77,3
78,12
79,12
80,30
81,5
82,6
83,12
84,5
85,5
86,2
87,4
89,1
90,13
91,1
92,3
93,7
94,17
95,4
96,9
97,5
98,2
99,5
100,27979
101,2
102,6
104,2
105,2
106,3
108,1
110,1
112,19
113,1
114,1
116,2
120,2
121,1
125,3
127,1
130,2
131,2
133,1
134,1
135,73
136,8
139,1
140,1
144,7
145,1
147,2
150,5
152,4
155,1
156,1
157,1
158,3
164,73
168,2
172,65
173,61
174,44
178,4
180,1
186,1
187,1
191,1
194,29
195,1
196,8
198,68
200,1756
202,1
213,1
214,1
215,3
216,1
220,106
225,32
227,1
232,2
239,1
250,3
254,1
265,2
267,1
269,3
275,1
280,1
300,620
330,1
332,1
360,3
380,1
387,2
397,1
400,190
430,1
445,1
500,97
515,2
521,1
541,1
547,1
572,3
600,30
680,1
700,97
743,1
800,43
900,11
1000,60
1045,1
1100,7
1200,2
1264,2
1300,1
1500,1
1600,1
1721,1
1800,1
2000,19
2700,1
3000,1
