quantity,count
1,4001
2,1457
3,906
4,442
5,1986
6,382
7,244
8,217
9,489
10,8980
11,139
12,89
13,121
14,77
15,593
16,168
17,51
18,105
19,82
20,759
21,230
22,54
23,570
24,78
25,358
26,328
27,189
28,117
29,290
30,292
31,62
32,146
33,72
34,53
35,280
36,40
37,124
38,33
39,36
40,108
41,150
42,320
43,24
44,32
45,809
46,34
47,53
48,18
49,35
50,708
51,80
52,23
53,60
54,48
55,65
56,33
57,68
58,223
59,20
60,111
61,46
62,93
63,34
64,36
65,66
66,40
67,26
68,161
69,55
70,77
71,29
72,62
73,25
74,45
75,92
76,17
77,41
78,30
79,88
80,150
81,95
82,23
83,20
84,44
85,117
86,71
87,100
88,105
89,29
90,265
91,28
92,44
93,46
94,34
95,179
96,25
97,23
98,31
99,47
100,126181
101,8
102,5
103,6
104,24
105,9
106,12
107,4
108,20
109,12
110,20
111,13
112,1
113,12
114,9
115,6
116,22
117,4
118,54
119,7
120,12
121,8
122,4
123,7
124,7
125,19
126,11
127,3
128,1
129,842
130,9
131,5
132,2
133,14
134,11
135,18
136,7
137,8
138,14
139,6
140,5
141,8
142,59
143,6
144,9
145,7
146,8
147,15
148,6
149,7
150,57
151,8
152,7
153,17
154,10
155,24
156,16
157,9
158,22
159,13
160,35
161,68
162,15
163,10
164,12
165,16
166,23
167,2
168,3
169,6
170,6
171,1001
172,2
173,2
174,9
175,8
176,38
177,3
178,2
179,1
180,35
181,13
182,3
183,2
184,20
185,1
186,1
187,16
188,9
189,5
190,12
191,7
192,8
193,5
194,46
195,20
196,1
197,4
198,8
199,8
200,9030
201,1
203,3
204,30
205,12
206,1
207,23
212,2
214,1
215,20
217,2
221,2
222,1
223,1
225,2
226,2
228,4
229,1
232,1
234,1
235,1
237,3
238,1
239,1
241,12
242,3
246,3
247,1
250,44
251,7
252,1
254,7
259,4
260,19
261,7
263,3
264,10
265,13
266,7
267,1
268,9
270,2
271,3
273,1
274,1
275,167
277,2
280,3
281,13
282,1
283,3
285,4
287,1
290,3
291,2
295,15
297,2
298,2
299,13
300,1566
305,1
315,1
316,1
317,1
320,2
325,1
328,1
330,1
332,2
334,6
336,1
340,1
345,2
348,1
349,1
350,9
352,15
360,1
361,1
370,4
374,1
375,1
376,3
377,5
378,1
384,1
385,1
387,1
395,6
397,1
398,3
399,1
400,463
407,2
409,1
415,1
417,1
418,1
426,1
428,1
430,2
432,1
439,2
440,18
441,1
445,7
448,1
449,2
450,1
460,4
461,1
462,1
477,1
490,1
497,1
499,4
500,345
515,1
525,1
531,2
533,2
534,1
535,2
540,2
543,1
545,1
557,1
568,2
570,1
571,1
578,2
590,1
592,1
595,13
600,110
617,1
622,2
624,1
635,1
646,1
648,1
650,4
665,2
666,1
668,2
695,1
700,268
703,1
704,1
726,1
730,1
746,1
750,2
765,1
768,1
771,1
795,1
800,76
827,5
850,5
855,1
865,2
895,24
900,9
902,1
935,1
961,1
1000,142
1018,1
1037,2
1046,1
1047,1
1082,1
1100,6
1200,5
1250,1
1261,1
1300,1
1325,3
1400,1
1500,6
1550,1
1695,1
1696,1
1715,1
1775,1
1780,2
1800,2
1811,1
1831,1
1937,3
1960,1
2000,12
2051,1
2095,1
2139,1
2300,1
2400,5
2481,5
2500,2
2600,1
2900,1
3000,2
3071,1
3100,1
3200,1
3271,2
3397,1
3425,7
3500,1
3572,5
3920,1
3930,1
3965,1
4000,3
4100,1
4600,1
4700,1
5000,8
5500,1
5924,1
6000,2
6526,1
9479,1
9707,2
10000,2
20000,1
42400,1
70000,1
80400,1
80440,1
85000,1
87000,1
100000,14
200000,7
