quantity,count
1,1349
2,153
3,45
4,66
5,240
6,43
7,92
8,67
9,100
10,181
11,31
12,48
13,128
14,86
15,81
16,34
17,41
18,83
19,19
20,75
21,18
22,27
23,22
24,22
25,70
26,11
27,28
28,10
29,32
30,305
31,44
32,46
33,47
34,68
35,59
36,23
37,31
38,35
39,12
40,33
41,8
42,4
43,28
44,14
45,12
46,20
47,36
48,16
49,26
50,74
51,69
52,72
53,132
54,222
55,13
56,3
57,15
58,55
59,5
60,15
61,17
62,63
63,3
64,13
65,2
66,10
67,2
68,5
69,7
70,4
71,4
72,3
73,8
74,4
75,2
76,26
77,3
78,17
79,3
80,7
81,4
82,12
83,8
84,49
85,6
86,6
87,4
88,4
89,4
90,10
91,4
92,2
93,5
94,35
95,5
96,5
97,3
98,4
99,14
100,28873
102,1
104,1
105,2
108,2
109,3
110,3
111,2
112,3
114,3
115,2
116,1
117,6
119,2
120,2
122,4
124,11
125,5
128,2
132,2
135,1
137,1
139,1
144,1
145,1
146,1
149,2
151,1
152,1
156,1
157,1
158,1
159,3
160,1
162,23
167,3
169,1
172,1
178,1
180,1
182,81
184,192
185,1
188,49
189,8
190,1
191,20
193,2
198,1
199,1
200,717
201,6
202,1
209,1
210,4
212,58
222,1
240,2
241,1
254,1
273,4
275,3
284,9
290,4
298,2
300,153
394,1
400,68
416,1
450,1
500,78
800,1
1000,8
