quantity,count
1,15
2,6
3,6
4,7
5,9
6,4
7,2
8,3
9,2
10,13
11,5
12,1
13,2
14,1
15,7
16,1
17,3
18,5
20,21
22,3
23,1
25,8
26,2
27,5
29,2
30,11
33,3
35,3
36,1
38,2
39,1
40,6
41,1
42,2
44,4
45,2
46,1
47,2
48,1
49,3
50,50
51,2
53,1
54,4
55,5
56,1
57,1
60,10
62,2
65,1
66,2
68,1
69,1
70,5
72,2
73,4
74,2
75,7
76,1
78,1
80,12
82,2
84,1
85,1
87,2
89,1
90,2
91,1
92,1
95,2
96,2
98,2
99,2
100,348
101,1
103,2
105,1
111,1
115,2
116,1
120,3
122,2
125,1
127,2
129,1
130,2
131,1
132,1
138,1
142,1
145,1
148,2
150,19
151,1
152,1
154,1
155,1
158,3
159,1
160,1
165,1
171,3
175,3
180,3
184,1
185,1
189,1
190,1
191,1
194,1
197,1
198,1
199,1
200,156
202,1
206,1
213,1
215,1
216,2
220,1
225,2
228,1
231,1
233,1
236,1
245,1
250,11
252,1
253,1
257,1
262,1
264,1
265,1
267,1
269,1
271,1
275,2
279,2
280,3
283,1
284,1
293,1
295,1
299,1
300,97
304,1
306,1
308,1
309,1
311,1
325,2
327,2
330,3
333,1
338,1
340,2
350,5
353,1
354,1
365,1
375,2
377,1
380,2
381,2
387,1
394,2
398,2
400,40
402,1
406,1
418,1
420,1
426,1
439,1
445,1
447,2
448,1
450,5
465,1
467,1
471,1
474,2
480,1
488,1
489,1
493,1
499,1
500,64
501,1
505,1
506,1
526,1
529,1
530,1
531,1
534,1
550,3
551,1
555,1
558,1
570,1
575,1
581,2
585,1
600,24
601,1
620,1
630,1
631,1
637,1
646,1
647,1
650,2
663,1
671,1
673,1
675,2
700,8
709,1
711,1
713,1
718,1
723,1
725,1
730,1
735,1
736,1
739,1
750,1
783,1
784,1
797,1
799,1
800,14
804,1
806,1
818,1
825,2
830,1
846,1
849,1
850,1
855,1
867,1
875,1
894,1
898,1
900,9
919,1
922,1
924,1
927,1
964,1
982,2
1000,42
1100,2
1151,1
1169,1
1194,1
1200,3
1231,1
1248,1
1300,1
1303,1
1350,1
1400,1
1420,1
1435,1
1443,1
1476,1
1489,1
1500,6
1515,1
1700,1
1797,1
1798,1
1800,1
1890,1
1899,1
1900,1
1995,1
2000,8
2002,1
2100,2
2152,1
2156,1
2189,1
2200,2
2283,1
2400,1
2500,2
2678,1
2720,1
2746,1
2800,1
2803,1
2817,1
3000,2
3302,1
3350,1
4000,2
4063,1
4300,1
4800,1
4900,1
5200,1
5300,1
5937,1
