quantity,count
1,5927
2,3213
3,2525
4,3463
5,5147
6,1548
7,1589
8,1273
9,1757
10,42481
11,7928
12,3129
13,8144
14,3209
15,4779
16,4319
17,4982
18,3760
19,3112
20,4337
21,1632
22,1463
23,3836
24,4378
25,4194
26,3126
27,3652
28,4459
29,3629
30,5423
31,4065
32,623
33,310
34,480
35,523
36,464
37,224
38,326
39,596
40,658
41,261
42,362
43,2427
44,229
45,1216
46,291
47,230
48,312
49,211
50,3467
51,993
52,1288
53,333
54,141
55,138
56,129
57,877
58,215
59,229
60,368
61,192
62,202
63,193
64,215
65,512
66,414
67,542
68,424
69,1218
70,916
71,1161
72,1086
73,981
74,1077
75,1105
76,760
77,369
78,766
79,201
80,780
81,689
82,574
83,559
84,1065
85,655
86,571
87,629
88,1043
89,121
90,238
91,134
92,192
93,204
94,226
95,169
96,134
97,191
98,148
99,294
100,664531
101,62
102,237
103,33
104,17
105,30
106,33
107,39
108,19
109,22
110,80
111,53
112,14
113,27
114,25
115,25
116,25
117,12
118,11
119,36
120,101
121,19
122,21
123,17
124,17
125,66
126,30
127,22
128,24
129,21
130,73
131,8
132,14
133,16
134,14
135,25
136,45
137,6
138,6
139,15
140,57
141,11
142,13
143,6
144,14
145,26
146,21
147,18
148,15
149,16
150,779
151,22
152,19
153,25
154,18
155,9
156,24
157,11
158,9
159,14
160,81
161,20
162,11
163,8
164,24
165,15
166,8
167,15
168,20
169,11
170,30
171,10
172,6
173,10
174,19
175,54
176,7
177,9
178,5
179,13
180,59
181,34
182,7
183,9
184,22
185,37
186,17
187,29
188,21
189,11
190,47
191,16
192,33
193,47
194,15
195,93
196,150
197,20
198,26
199,28
200,25679
201,4
202,6
203,6
204,12
205,15
206,9
207,2
208,2
209,3
210,59
211,4
212,2
213,2
215,8
216,2
217,3
218,20
220,19
221,21
222,5
223,13
225,9
226,5
227,11
228,11
229,3
230,18
231,3
232,8
233,6
234,5
235,10
236,8
238,17
239,3
240,19
241,3
242,3
243,2
244,7
245,3
246,1
247,9
248,4
249,22
250,583
251,2
252,5
253,1
255,6
256,4
257,9
258,12
259,2
260,14
261,1
262,1
263,3
264,6
265,3
266,1
267,2
268,7
269,4
270,6
271,2
272,76
273,1
274,3
275,16
276,2
277,2
278,22
279,5
280,9
281,30
282,36
283,3
284,4
285,7
286,7
287,7
288,2
289,2
290,9
292,5
293,11
294,2
295,2
296,5
297,2
298,16
299,12
300,4895
301,1
302,3
303,2
304,3
305,4
306,6
307,1
308,2
310,6
312,4
313,1
314,1
315,1
316,2
318,2
320,13
321,1
322,2
323,1
324,6
325,3
327,2
328,2
329,31
330,6
333,4
335,4
336,102
337,2
339,4
340,8
342,4
344,5
345,3
346,3
347,1
348,3
349,1
350,108
351,1
352,4
355,3
356,4
357,6
358,1
359,2
360,11
361,9
362,3
363,1
365,3
367,3
368,1
370,2
371,1
372,3
373,2
375,8
376,2
377,3
380,3
381,1
382,3
383,1
385,2
386,17
387,1
388,1
389,2
390,5
391,4
393,2
395,3
396,2
397,4
399,3
400,22387
401,3
404,2
405,3
406,5
408,2
409,2
410,10
411,3
412,6
413,3
414,10
415,5
416,2
418,1
419,1
420,6
421,1
422,2
423,2
424,2
425,2
427,1
428,4
430,8
432,2
433,3
435,1
440,5
441,2
442,2
443,5
446,2
448,1
449,7
450,56
452,1
453,1
454,1
456,2
457,1
459,1
460,4
464,1
465,1
467,2
469,2
470,4
473,2
474,2
475,7
476,1
477,6
478,1
479,2
480,8
481,2
482,2
483,2
484,1
486,3
487,1
489,2
490,13
492,2
493,4
497,1
498,2
499,4
500,29369
501,3
502,1
504,3
506,2
507,1
508,1
510,44
511,2
512,9
518,2
520,4
521,1
523,3
524,6
525,3
526,1
527,1
529,15
531,2
532,2
534,1
535,1
536,1
540,5
