distance_ticks,count
0,1691
1,635
2,217
3,142
4,118
5,102
6,76
7,68
8,72
9,65
10,54
11,45
12,48
13,47
14,66
15,49
16,46
17,49
18,24
19,24
20,33
21,18
22,9
23,15
24,3
25,12
26,6
27,9
28,12
29,3
30,6
31,15
32,8
33,7
34,4
35,7
36,6
37,3
38,4
39,5
40,9
41,4
42,2
43,5
44,10
45,8
46,3
47,9
48,2
49,4
50,3
51,4
52,6
53,1
54,4
55,4
56,3
57,1
58,4
59,3
60,4
61,2
62,2
63,1
64,1
65,1
67,1
69,3
74,4
76,2
78,3
79,4
80,4
81,5
82,1
84,2
85,3
86,10
87,3
88,7
89,5
90,5
91,7
92,8
93,8
94,11
95,9
96,17
97,29
98,49
99,47
100,38
101,72
102,66
103,61
104,57
105,39
106,33
107,22
108,8
109,9
110,5
111,2
112,5
113,4
114,2
115,3
116,5
117,1
118,1
120,1
121,3
122,1
123,2
125,12
126,3
127,1
129,2
132,1
133,2
138,1
139,1
142,2
144,1
146,1
148,1
149,1
150,1
151,1
154,2
156,2
157,2
165,1
168,1
170,1
171,2
173,1
174,1
183,1
187,3
189,1
192,2
193,1
194,2
196,1
198,1
201,1
202,1
203,3
204,3
205,2
207,2
213,1
221,2
224,1
226,3
227,1
228,2
230,3
231,4
232,6
233,10
234,18
235,36
236,9
237,4
238,7
239,1
243,3
244,7
245,1
247,2
250,3
251,1
252,1
253,1
254,1
255,1
256,1
258,4
259,4
261,2
263,3
266,1
269,3
270,1
271,1
272,2
275,1
276,2
277,2
279,1
282,3
287,3
288,2
290,1
294,1
302,1
304,1
306,1
307,1
315,2
326,1
328,3
332,1
339,3
344,1
345,2
357,1
361,1
362,1
363,1
367,1
368,3
373,1
377,2
379,1
383,1
386,1
387,1
391,1
392,1
393,1
394,1
400,1
412,1
413,3
414,1
418,1
420,1
422,1
424,1
433,1
435,1
436,1
437,1
441,5
446,1
450,1
451,3
452,1
457,1
458,1
466,1
472,1
475,1
476,1
483,2
494,1
502,1
515,1
517,1
522,1
528,1
529,1
530,1
536,1
542,1
545,1
556,1
566,3
571,3
588,1
594,1
633,1
661,2
673,2
674,1
675,3
722,4
778,1
780,1
782,1
785,2
813,2
832,1
863,1
870,1
871,2
887,1
893,3
915,1
930,3
950,3
954,2
955,20
966,1
979,19
982,2
983,1
994,19
995,21
1005,1
1007,6
1011,9
1016,4
1028,2
1031,11
1050,5
1051,5
1052,17
1079,2
1085,8
1089,2
1193,3
1211,2
1249,1
1297,1
1319,1
1442,1
1995,1
19996508,5
19996736,1
