quantity,count
1,507
2,174
3,134
4,119
5,144
6,122
7,96
8,82
9,71
10,339
11,64
12,77
13,58
14,63
15,191
16,76
17,55
18,59
19,54
20,1375
21,67
22,45
23,58
24,49
25,281
26,159
27,122
28,144
29,66
30,416
31,81
32,69
33,72
34,69
35,114
36,71
37,54
38,132
39,86
40,231
41,74
42,69
43,60
44,87
45,167
46,73
47,76
48,54
49,85
50,658
51,53
52,40
53,26
54,32
55,36
56,48
57,37
58,22
59,28
60,135
61,37
62,27
63,33
64,49
65,54
66,23
67,21
68,33
69,37
70,287
71,100
72,52
73,27
74,37
75,108
76,15
77,15
78,21
79,23
80,93
81,26
82,30
83,13
84,32
85,31
86,27
87,23
88,9
89,71
90,35
91,13
92,26
93,18
94,13
95,44
96,21
97,25
98,17
99,43
100,155628
101,19
102,18
103,39
104,45
105,14
106,8
107,7
108,12
109,6
110,15
111,3
112,5
113,8
114,17
115,15
116,8
117,11
118,4
119,5
120,501
121,10
122,5
123,3
124,6
125,35
126,10
127,34
128,6
129,8
130,23
131,8
132,6
133,104
134,13
135,56
136,7
137,11
138,18
139,15
140,365
141,11
142,24
143,17
144,9
145,7
146,21
147,10
148,8
149,21
150,122
151,19
152,14
153,16
154,15
155,12
156,8
157,4
158,10
159,8
160,7
161,5
162,4
163,10
164,5
165,12
166,180
167,7
168,8
169,6
170,12
171,7
172,3
173,6
174,7
175,17
176,9
177,3
178,7
179,5
180,18
181,2
182,9
184,1
185,10
186,3
187,9
188,3
189,7
190,10
191,3
192,5
193,6
194,4
195,11
196,4
197,1
198,20
199,6
200,15792
201,1
202,1
203,6
204,5
205,8
206,2
207,2
208,5
209,2
210,838
211,4
213,3
214,2
215,2
216,3
218,3
220,3
221,1
222,2
223,4
224,5
225,10
226,3
227,1
228,4
230,8
231,3
232,4
233,6
234,1
235,9
236,2
237,2
238,1
239,2
240,4
241,4
242,3
243,3
244,3
245,2
246,5
247,5
248,3
249,1
250,102
251,10
252,1
253,4
254,1
255,5
257,1
258,9
259,2
260,17
261,1
262,3
265,1
266,3
267,4
268,3
270,6
271,1
272,5
273,1
274,2
275,3
276,3
278,2
279,2
280,11
281,3
282,3
283,4
284,7
285,8
286,6
287,8
288,10
289,4
290,3
291,4
292,11
293,2
294,4
295,7
296,9
297,12
298,8
299,4
300,5400
301,5
302,6
303,21
304,9
305,5
306,19
307,6
308,8
309,5
310,46
311,3
312,2
313,4
314,5
315,5
316,3
317,10
318,5
319,4
320,51
321,11
322,12
323,2
324,2
325,2
326,5
327,6
328,10
329,5
330,45
331,2
332,5
333,14
335,9
336,8
337,5
338,12
339,4
340,52
341,22
342,5
343,1
344,3
345,2
346,19
347,14
348,6
350,122
351,2
352,7
353,10
354,3
355,4
356,5
357,5
358,9
359,12
360,46
361,7
362,5
363,10
364,10
365,7
366,12
367,20
368,8
369,9
370,64
371,19
372,4
373,15
374,6
375,7
376,7
377,6
378,13
379,3
380,129
381,33
382,7
383,12
384,6
385,5
386,12
387,25
388,7
389,14
390,97
391,8
392,6
393,5
394,6
395,14
396,4
397,20
398,14
399,25
400,3367
401,4
402,5
403,8
404,41
405,6
406,26
407,11
408,4
409,7
410,20
411,4
412,3
413,2
414,10
415,16
416,42
417,4
418,4
419,23
420,64
421,8
422,10
423,3
424,8
425,6
426,2
427,6
428,17
429,11
430,112
431,6
432,1
433,10
434,6
435,9
436,4
437,10
438,4
439,7
440,85
441,3
442,9
443,2
444,3
445,2
446,4
448,1
449,1
450,82
451,2
452,13
454,2
455,7
456,4
457,5
458,3
459,5
460,92
461,8
462,2
463,1
465,1
466,7
468,10
469,8
470,79
471,1
473,1
474,2
475,2
476,8
477,1
478,8
479,5
480,84
481,4
482,2
483,3
484,7
485,1
486,1
487,5
488,3
489,4
490,71
491,3
492,5
493,1
494,2
495,9
496,3
497,1
498,4
499,1
500,2743
506,2
508,1
509,1
510,1
513,1
515,2
516,1
517,3
520,4
521,1
522,1
524,1
525,1
526,1
527,2
528,1
530,7
531,1
532,1
533,2
536,5
538,1
541,1
542,3
543,2
544,3
545,4
547,1
548,1
550,6
551,3
552,1
553,4
555,4
556,1
558,1
559,1
562,2
563,1
564,1
565,3
566,1
567,1
568,2
569,4
570,1
573,5
575,7
576,1
577,3
578,1
579,4
580,5
581,2
582,2
584,2
585,3
587,1
590,3
591,1
592,1
593,3
595,3
597,1
600,2825
601,4
602,9
603,4
604,2
606,5
607,3
608,1
609,3
610,4
611,3
612,3
613,5
614,2
615,2
616,5
617,1
618,1
619,2
620,2
621,5
622,4
623,3
624,1
625,1
632,1
636,1
646,3
647,1
648,1
650,6
653,1
659,1
660,1
665,1
666,2
669,2
670,2
672,1
675,1
685,1
687,1
694,1
697,1
699,3
700,718
702,1
717,2
727,2
740,2
745,2
747,4
750,17
751,1
770,2
780,1
782,1
795,4
796,3
797,2
798,2
800,450
804,2
811,2
812,1
814,2
815,2
819,1
825,3
835,1
841,1
845,2
850,4
853,2
857,1
858,1
859,1
861,1
864,1
870,5
871,1
874,1
876,1
877,1
878,2
879,1
880,2
881,1
883,1
885,3
887,1
889,2
890,1
