distance_ticks,count
0,22718
1,10687
2,4283
3,2198
4,1620
5,1071
6,657
7,487
8,579
9,666
10,852
11,925
12,730
13,515
14,540
15,705
16,840
17,708
18,349
19,146
20,97
21,97
22,120
23,102
24,90
25,52
26,40
27,16
28,14
29,6
30,11
31,14
32,12
33,14
34,10
35,19
36,12
37,11
38,10
39,12
40,12
41,12
42,9
43,9
44,6
45,12
46,5
47,17
48,8
49,6
50,2
51,1
52,1
53,7
54,2
55,1
56,1
57,1
58,1
60,4
61,7
62,6
63,7
64,15
65,13
66,30
67,31
68,59
69,146
70,287
71,379
72,426
73,282
74,180
75,162
76,251
77,238
78,419
79,382
80,375
81,282
82,67
83,13
84,2
85,1
86,1
88,1
89,1
91,1
93,2
94,2
95,1
103,2
105,1
108,1
110,1
111,2
113,1
115,2
116,1
128,1
129,1
130,1
140,1
141,3
142,2
143,4
144,2
146,1
148,3
152,4
153,1
156,1
158,3
161,2
164,1
168,1
171,1
175,1
176,3
177,1
182,1
183,1
184,1
185,2
186,5
187,5
188,6
189,28
190,59
191,235
192,479
193,425
194,109
195,14
196,3
197,3
198,1
199,1
202,1
204,1
205,3
206,3
207,1
209,3
210,6
215,1
216,1
218,1
227,3
229,3
235,4
242,1
243,1
244,1
246,1
248,1
251,2
253,1
254,1
261,1
267,1
271,1
279,3
281,3
287,1
303,1
304,1
305,2
308,3
310,1
312,2
319,3
323,1
326,1
339,1
349,2
351,1
352,1
354,2
357,1
360,3
362,1
364,1
372,1
389,4
390,3
410,1
437,1
440,3
467,3
468,2
509,1
528,3
540,1
544,1
558,2
590,1
605,1
614,1
617,3
630,3
664,2
669,1
671,1
679,1
683,1
688,1
691,9
693,21
700,1
704,29
705,1
715,3
743,7
752,33
762,1
773,31
778,7
784,31
831,9
835,7
853,3
912,1
930,2
965,3
970,1
1052,2
9997314,1
9997632,1
