distance_ticks,count
0,29254
1,2870
2,2102
3,2165
4,1866
5,2977
6,2860
7,2739
8,1830
9,764
10,1135
11,620
12,625
13,784
14,511
15,823
16,328
17,294
18,276
19,225
20,196
21,229
22,171
23,171
24,194
25,151
26,722
27,539
28,601
29,423
30,335
31,347
32,396
33,345
34,314
35,316
36,249
37,192
38,203
39,155
40,182
41,152
42,156
43,138
44,136
45,205
46,160
47,132
48,98
49,129
50,111
51,102
52,144
53,133
54,107
55,74
56,88
57,72
58,39
59,47
60,47
61,31
62,27
63,32
64,24
65,32
66,21
67,29
68,20
69,28
70,14
71,22
72,16
73,20
74,15
75,12
76,18
77,13
78,10
79,10
80,6
81,12
82,10
83,8
84,8
85,8
86,6
87,11
88,5
89,13
90,7
91,6
92,6
93,12
94,3
95,7
96,4
97,5
98,4
99,4
100,5
101,2
102,10
103,10
104,5
105,5
106,5
107,2
109,6
110,1
111,4
112,4
113,3
114,10
115,5
116,7
117,5
118,1
119,6
120,6
121,3
122,4
123,3
127,2
128,3
129,1
130,1
131,1
132,2
133,4
134,3
135,5
136,3
137,1
138,2
139,3
140,5
141,5
142,3
143,8
144,3
145,3
146,4
147,4
149,3
150,4
151,4
152,3
153,3
154,4
155,2
156,2
157,3
158,2
159,4
160,2
161,2
162,1
165,3
166,1
167,1
168,3
170,1
171,1
172,2
176,2
178,1
179,1
180,1
181,2
186,2
187,2
188,2
189,12
192,1
193,3
194,5
195,2
196,6
199,1
200,2
201,1
202,1
203,2
204,2
205,1
206,3
208,1
209,1
211,1
215,2
216,3
220,2
223,2
226,2
231,1
233,1
234,3
236,1
237,1
239,1
241,1
246,3
250,5
251,1
252,1
257,1
260,1
264,1
265,1
268,1
269,1
270,1
271,1
274,1
275,2
276,1
277,1
279,1
280,1
281,1
282,3
283,4
284,2
285,4
288,3
290,19
291,1
293,1
295,1
297,1
298,4
300,4
301,3
302,2
303,1
304,4
305,1
306,1
307,2
308,3
314,2
315,2
316,2
318,3
320,5
324,1
325,1
326,1
330,2
332,1
333,3
334,1
335,1
337,1
338,2
339,1
342,1
344,1
346,2
350,5
351,1
354,1
355,1
360,1
361,1
362,1
363,1
365,1
368,1
370,1
371,2
372,2
374,1
376,2
378,1
379,1
383,1
384,1
387,1
389,1
390,2
391,1
392,1
394,2
396,3
397,1
400,7
401,1
404,1
407,2
410,1
413,1
415,2
416,8
417,4
418,12
419,21
420,26
421,41
422,88
423,173
424,164
425,240
426,334
427,429
428,454
429,547
430,428
431,410
432,326
433,177
434,81
435,69
436,39
437,26
438,25
439,7
440,14
441,10
442,10
443,17
444,17
445,21
446,26
447,47
448,187
449,347
450,443
451,453
452,473
453,482
454,432
455,411
456,616
457,930
458,539
459,290
460,271
461,264
462,160
463,78
464,50
465,39
466,23
467,43
468,33
469,34
470,70
471,107
472,127
473,215
474,341
475,324
476,252
477,264
478,358
479,282
480,258
481,135
482,66
483,46
484,33
485,22
486,18
487,4
488,4
489,6
490,12
491,1
492,3
493,3
494,1
495,1
499,1
500,52
501,1
504,1
506,4
507,1
508,1
509,1
510,1
513,1
515,4
516,1
517,2
518,2
519,2
520,2
522,2
523,2
525,3
529,1
530,3
531,1
532,1
533,1
534,1
540,2
541,1
542,2
544,1
546,1
549,2
550,7
551,1
552,2
553,2
554,2
555,3
558,2
560,1
563,2
564,4
565,1
567,2
570,4
572,1
573,1
574,2
575,2
576,2
577,3
578,3
579,4
580,1
583,2
585,1
586,1
587,2
588,1
589,3
590,10
592,2
593,1
597,4
600,7
603,2
604,4
605,5
609,7
610,3
615,2
616,1
617,3
618,4
621,3
622,3
628,1
629,1
631,1
634,1
635,1
638,2
639,1
640,1
642,1
644,1
646,2
650,1
652,3
657,2
659,4
665,1
678,1
679,1
688,1
690,4
691,1
692,1
693,1
696,1
700,7
703,1
705,2
706,2
710,1
712,2
713,2
715,5
716,2
720,1
723,1
724,2
727,1
728,1
731,3
735,1
736,2
737,1
738,1
740,1
745,1
747,1
750,8
752,4
753,1
754,2
755,1
756,1
758,2
761,1
763,1
766,1
767,1
768,2
769,1
773,1
775,2
781,3
786,1
790,28
791,1
795,2
797,1
800,16
806,2
810,1
813,1
816,10
819,1
820,1
827,2
833,1
834,4
837,1
838,2
840,2
841,1
843,1
845,3
846,2
850,2
852,1
855,2
860,1
861,2
863,1
877,1
878,1
879,2
885,3
890,7
891,1
894,2
895,1
896,2
898,1
900,7
901,2
902,3
903,2
906,3
907,2
909,1
911,1
912,1
913,1
914,3
916,7
917,1
921,3
927,3
928,1
934,3
938,3
941,1
942,1
944,1
945,1
946,1
950,7
953,1
957,2
960,3
963,1
966,2
970,4
972,3
974,1
975,3
976,1
977,2
979,3
980,3
982,5
989,3
990,4
992,1
996,1
998,4
1000,83
1001,1
1009,1
1011,1
1013,1
1015,4
1016,3
1017,3
1018,1
1019,2
1020,1
1021,3
1023,1
1024,3
1028,2
1029,3
1030,4
1031,4
1032,4
1033,2
1034,7
1035,6
1036,15
1037,18
1038,26
1039,59
1040,61
1041,86
1042,118
1043,183
1044,192
1045,172
1046,147
1047,174
1048,169
1049,154
1050,204
1051,190
1052,188
1053,121
1054,110
1055,101
1056,52
1057,53
1058,40
1059,68
1060,20
1061,19
1062,7
1063,3
1064,11
1065,1
1066,3
1067,6
1068,3
1069,1
1075,2
1078,2
1087,1
1090,2
1098,1
1099,2
1100,9
1107,18
1108,17
1113,1
1116,3
1127,1
1128,35
1148,35
1150,1
1160,1
1165,1
1168,2
1170,4
1175,1
1190,8
1192,1
1200,12
1210,1
1213,35
1214,35
1215,6
1217,1
1225,6
1229,1
1230,37
1250,2
1266,35
1290,13
1300,8
1302,1
1313,1
1320,1
1325,7
1326,1
1345,1
1350,1
1361,2
1368,1
1375,1
1390,2
1399,1
1400,3
1410,1
1415,1
1425,4
1430,1
1432,1
1437,1
1440,1
1441,1
1450,3
1454,2
1462,1
1473,1
1486,2
1490,2
1498,1
1500,14
1504,1
1525,30
1550,7
1555,1
1560,1
1570,2
1578,2
1580,1
1586,1
1590,5
1597,1
1600,2
1607,1
1613,2
1615,1
1625,3
1650,1
1655,1
1656,1
1660,2
1680,1
1684,1
1685,1
1690,4
1700,3
1710,1
1715,9
1720,1
1724,1
1725,4
1730,1
1735,1
1746,1
1750,2
1759,1
1770,1
1775,2
1789,2
1790,16
1795,2
1800,3
1809,1
1810,1
1815,1
1820,1
1823,1
1825,2
1837,1
1847,1
1850,4
1860,1
1881,1
1890,1
1900,2
1905,1
1915,4
1925,4
1927,1
1930,1
1943,1
1965,1
1970,1
1988,1
1990,1
2000,20
2023,1
2025,12
2035,1
2040,1
2050,12
2077,1
2078,2
2090,4
2098,1
2100,2
2115,5
2125,1
2155,1
2181,1
2200,2
2205,2
2215,20
2216,1
2230,1
2243,2
2246,1
2248,1
2265,1
2284,1
2286,1
2290,11
2292,1
2300,4
2302,1
2303,2
2310,1
2325,4
2350,1
2355,1
2365,2
2375,1
2386,1
2390,3
2400,1
2416,1
2417,1
2425,3
2440,1
2481,1
2494,1
2500,8
2511,1
2515,3
2524,2
2525,13
2530,1
2533,1
2540,1
2547,2
2590,2
2600,1
2615,5
2625,1
2637,1
2641,1
2650,1
2653,1
2665,2
2668,1
2690,3
2700,1
2705,1
2713,1
2715,20
2720,1
2728,1
2740,1
2750,1
2755,1
2758,1
2773,1
2780,25
2781,1
2784,1
2785,2
2786,3
2787,2
2788,1
2790,12
2800,1
2815,3
2818,1
2825,1
2838,1
2840,2
2845,1
2848,27
2850,8
2856,1
2857,35
2861,2
2868,2
2869,2
2870,4
2871,2
2872,1
2876,8
2889,1
2900,2
2915,2
2924,1
2925,1
2950,2
2975,1
2980,1
2999,1
3000,10
3005,1
3014,1
3015,1
3016,1
3022,2
3025,2
3042,35
3050,9
3063,1
3091,1
3145,1
3191,1
3193,26
3200,3
3205,1
3215,3
3233,1
3244,2
3248,1
3250,4
3264,1
3290,2
3296,25
3303,1
3315,2
3325,3
3344,1
3350,2
3385,2
3415,1
3425,2
3437,1
3470,1
3475,3
3476,1
3500,8
3505,1
3510,1
3515,2
3524,1
3525,6
3543,2
3550,4
3589,1
3595,1
3600,2
3625,2
3637,1
3645,1
3650,1
3715,14
