distance_ticks,count
0,4616
1,1766
2,663
3,685
4,446
5,428
6,227
7,154
8,212
9,461
10,438
11,323
12,220
13,159
14,128
15,176
16,60
17,48
18,36
19,33
20,40
21,40
22,37
23,60
24,32
25,26
26,42
27,16
28,21
29,15
30,9
31,14
32,4
33,7
34,13
35,11
36,13
37,28
38,36
39,109
40,288
41,219
42,98
43,100
44,157
45,139
46,214
47,129
48,82
49,15
50,3
51,9
52,8
53,5
54,6
55,1
56,3
57,7
58,7
59,9
60,9
61,5
62,4
63,2
64,4
65,4
66,1
67,4
68,9
69,6
70,2
71,4
72,5
73,2
74,2
75,3
76,1
77,6
78,1
79,1
80,3
81,1
82,7
83,3
84,6
85,3
86,2
87,5
88,8
89,3
90,7
91,9
92,7
93,3
94,5
95,1
96,2
97,1
98,1
99,1
100,5
101,2
102,7
103,5
104,4
105,9
106,2
107,2
108,1
110,2
111,1
112,2
113,2
117,1
121,2
122,2
124,2
125,5
126,2
127,2
128,8
129,12
130,30
131,46
132,38
133,5
134,3
135,2
137,2
141,1
144,1
145,7
146,3
148,2
152,4
153,1
158,2
159,3
162,1
164,1
166,1
167,4
168,1
171,1
173,3
175,1
176,1
177,1
178,1
182,1
184,1
186,1
187,3
188,1
190,1
192,1
193,1
195,1
196,1
204,1
208,3
212,1
215,5
223,1
224,1
236,1
247,1
254,1
263,1
267,1
279,1
281,1
291,1
319,1
323,3
328,13
333,3
340,1
341,2
347,1
348,2
360,2
361,2
362,13
366,16
368,1
369,12
370,9
371,3
372,4
373,1
375,16
376,3
378,1
379,9
381,6
382,2
388,1
389,2
390,6
393,1
395,3
396,25
403,8
406,25
407,4
408,2
410,3
411,25
413,1
418,25
421,28
425,23
431,3
435,1
436,1
437,23
438,1
442,1
450,26
482,24
517,2
523,13
553,11
555,3
604,1
812,1
827,1
899,3
1272,1
1294,5
1424,3
1472,1
1639,1
