quantity,count
1,268
2,288
3,83
4,118
5,457
6,35
7,10
8,20
9,25
10,166
11,36
12,14
13,132
14,52
15,47
16,24
17,40
18,41
19,48
20,47
21,26
22,11
23,32
24,32
25,129
26,38
27,42
28,30
29,19
30,472
31,3
32,48
33,9
34,30
35,18
36,5
37,20
38,2
39,63
40,2
41,2
42,1
43,1
44,3
45,13
46,5
47,4
48,2
49,9
50,26
51,11
52,8
53,9
54,7
55,30
56,4
57,7
58,5
59,5
60,7
61,4
62,5
63,4
64,5
65,2
66,4
67,3
68,4
69,18
70,24
71,14
72,4
73,28
74,5
75,29
76,2
77,3
78,3
79,9
80,9
81,1
82,5
83,2
84,2
85,7
86,3
87,2
88,26
89,9
90,18
91,7
92,10
93,2
94,12
95,18
96,8
97,6
98,6
99,228
100,33889
101,4
102,9
103,4
104,5
105,7
106,108
108,4
109,6
111,1
113,2
116,1
117,1
118,8
119,60
120,1
121,2
123,73
125,1
126,2
128,3
129,1
136,1
146,17
149,1
150,1
151,1
152,1
153,1
154,1
157,1
159,1
161,1
162,1
165,1
167,1
169,1
170,1
171,26
172,2
173,1
175,1
180,84
181,1
183,1
185,107
189,2
192,2
198,59
199,5
200,1237
205,1
206,161
213,1
216,1
219,2
222,1
235,46
240,30
245,1
274,1
286,1
296,1
300,154
400,19
465,1
500,33
508,4
509,1
600,40
677,13
700,2
757,13
848,4
1000,27
