distance_ticks,count
0,133865
1,33165
2,17321
3,15713
4,11053
5,9528
6,6339
7,6555
8,6216
9,7076
10,8961
11,10024
12,8892
13,7022
14,5891
15,5336
16,4676
17,3885
18,3070
19,2684
20,1959
21,1452
22,992
23,857
24,662
25,561
26,594
27,668
28,465
29,440
30,531
31,299
32,313
33,266
34,201
35,220
36,376
37,199
38,129
39,98
40,94
41,114
42,107
43,69
44,78
45,89
46,199
47,1037
48,1193
49,303
50,76
51,46
52,29
53,54
54,41
55,51
56,48
57,46
58,124
59,230
60,335
61,331
62,263
63,220
64,177
65,95
66,130
67,109
68,40
69,30
70,28
71,25
72,18
73,24
74,19
75,21
76,13
77,21
78,9
79,19
80,21
81,17
82,24
83,12
84,26
85,27
86,17
87,21
88,16
89,18
90,28
91,16
92,16
93,5
94,6
95,11
96,9
97,7
98,9
99,7
100,19
101,7
102,6
103,4
104,13
105,6
106,7
107,3
108,3
109,7
110,7
112,3
113,4
114,6
115,2
116,6
117,5
118,4
119,3
120,6
121,5
122,2
123,4
124,3
125,4
126,5
127,4
128,2
129,5
130,3
131,5
132,8
133,5
134,5
135,5
136,1
137,4
138,2
139,2
140,1
141,3
143,2
144,1
145,4
146,4
147,4
148,2
149,6
150,7
151,2
152,2
153,2
154,2
155,3
156,16
157,5
158,21
159,11
160,22
161,16
162,12
163,4
164,4
165,1
166,1
167,4
168,3
169,8
170,1
171,2
173,6
174,2
175,9
176,3
177,2
178,3
179,3
180,5
181,4
182,4
183,1
184,2
185,4
186,3
187,6
188,4
189,3
190,7
191,4
192,2
193,2
194,10
195,4
196,2
197,2
198,10
199,4
200,4
201,7
202,8
203,5
204,5
205,6
206,8
207,13
208,8
209,9
210,7
211,8
212,4
213,8
214,4
215,4
216,3
217,6
218,3
219,4
220,4
221,2
222,4
223,3
224,5
225,3
226,2
227,4
228,4
229,3
230,6
231,2
232,3
233,2
234,3
235,1
236,8
237,4
238,4
239,3
241,7
242,3
244,3
245,5
246,4
247,3
248,8
249,13
250,40
251,190
252,806
253,2484
254,4144
255,1809
256,318
257,24
258,13
259,23
260,93
261,508
262,1517
263,1992
264,1456
265,176
266,11
267,4
268,6
269,4
270,4
271,2
272,5
273,5
274,5
275,8
276,3
277,5
278,3
279,3
280,2
281,6
282,6
283,6
284,5
285,4
286,6
287,6
288,2
289,5
290,4
291,2
292,5
293,1
294,2
295,1
296,4
297,6
298,4
299,2
300,9
301,4
302,5
303,4
304,10
305,10
306,25
307,24
308,27
309,94
310,524
311,1874
312,3266
313,1647
314,318
315,342
316,611
317,1274
318,1836
319,963
320,220
321,48
322,17
323,5
324,3
325,3
326,1
327,3
328,1
331,1
333,1
336,5
337,2
339,7
340,2
341,2
346,1
347,1
348,5
349,2
350,2
351,4
352,2
354,1
355,2
356,2
357,9
358,2
359,4
362,3
364,2
365,1
366,2
367,1
368,2
369,2
370,1
371,3
373,5
374,1
375,2
380,1
382,2
384,2
385,2
386,2
387,1
389,3
391,1
392,1
393,1
394,2
395,2
396,1
397,3
398,3
399,2
400,3
401,1
403,3
405,2
406,1
407,4
408,2
409,1
411,1
414,1
415,1
416,6
417,2
418,2
419,1
421,4
422,2
425,1
426,5
427,3
429,2
430,1
432,1
433,2
434,3
435,1
436,1
437,2
439,2
440,2
441,5
442,1
443,1
445,1
446,2
447,3
448,2
449,2
450,1
451,1
453,4
454,2
455,3
456,17
457,9
458,1
459,1
460,1
465,1
466,3
468,2
469,2
470,3
471,1
472,3
473,2
474,1
476,2
480,1
481,1
483,1
484,2
486,2
487,1
488,1
490,3
492,1
494,1
497,1
498,2
500,9
501,1
504,1
508,3
511,1
512,1
513,1
514,1
517,6
518,2
519,2
520,1
521,1
522,2
523,1
524,2
525,1
526,3
527,3
528,4
533,3
535,2
539,1
544,1
545,3
546,1
549,1
550,2
551,6
556,6
558,2
559,5
563,1
565,2
566,4
568,1
570,2
572,6
573,2
574,1
575,1
576,3
577,2
578,2
579,1
581,2
583,1
586,1
587,3
588,1
589,7
590,4
591,1
592,6
594,1
595,1
601,1
603,2
606,1
607,2
608,1
609,4
611,1
612,1
613,1
616,1
617,5
618,1
619,1
621,1
622,2
623,3
624,2
626,2
627,2
630,1
631,2
632,1
633,1
634,1
635,3
636,4
637,3
638,1
644,1
645,1
649,1
650,1
651,3
653,1
655,2
656,5
659,1
660,23
661,12
662,1
663,1
664,1
666,1
667,1
669,1
670,2
671,1
672,1
675,41
678,1
679,1
682,1
684,3
685,1
689,3
692,5
694,1
698,39
699,1
700,3
703,1
704,1
706,3
710,1
712,1
715,1
717,8
726,1
730,1
731,1
732,2
733,1
737,1
740,2
741,3
742,1
748,1
749,1
750,1
753,1
754,1
755,4
756,10
759,6
760,2
761,2
765,1
767,1
771,1
772,2
773,1
779,2
781,1
782,1
787,1
789,2
790,1
791,1
792,1
793,1
799,1
801,1
802,1
805,1
807,1
808,1
809,1
810,1
813,2
814,1
817,4
818,1
821,2
822,1
823,2
824,1
825,1
826,2
827,2
830,41
831,1
832,40
833,1
836,1
838,2
839,3
841,2
843,1
844,4
845,2
849,39
850,1
851,1
856,6
858,2
859,5
