distance_ticks,count
0,284604
1,77364
2,21860
3,16794
4,13242
5,17944
6,16522
7,12441
8,14349
9,9824
10,7772
11,5385
12,3633
13,2517
14,1665
15,1530
16,1289
17,871
18,832
19,644
20,499
21,300
22,237
23,201
24,184
25,173
26,147
27,138
28,135
29,115
30,93
31,65
32,67
33,70
34,47
35,35
36,28
37,38
38,43
39,33
40,29
41,31
42,31
43,35
44,33
45,38
46,28
47,24
48,25
49,27
50,26
51,41
52,29
53,23
54,27
55,32
56,20
57,14
58,9
59,10
60,13
61,7
62,10
63,7
64,9
65,8
66,4
67,7
68,9
69,14
70,12
71,6
72,3
73,104
74,503
75,266
76,526
77,195
78,21
79,24
80,94
81,597
82,222
83,522
84,114
85,27
86,75
87,379
88,346
89,778
90,291
91,370
92,35
93,11
94,15
95,4
96,10
97,6
98,8
99,5
100,11
101,6
102,12
103,18
104,17
105,11
106,17
107,17
108,12
109,8
110,8
111,8
112,5
113,3
114,7
115,11
116,10
117,8
118,6
119,5
120,6
121,7
122,9
123,4
124,13
125,10
126,5
127,9
128,7
129,9
130,4
131,3
133,5
134,7
135,10
136,4
137,4
138,4
139,8
140,3
141,4
142,1
143,1
144,7
145,4
146,2
147,1
148,5
149,4
150,8
151,3
152,7
153,2
154,3
156,2
157,2
158,2
159,3
160,6
161,2
162,3
163,3
164,1
165,2
168,3
169,2
170,4
171,2
172,3
173,2
174,4
175,5
176,7
177,4
178,9
179,9
180,7
181,5
182,4
183,4
184,1
188,1
190,3
191,1
194,2
195,2
196,1
197,1
199,3
201,1
202,1
203,1
204,1
205,5
206,1
207,2
208,6
209,7
210,5
211,3
212,1
215,1
216,1
221,1
222,4
223,1
224,2
225,3
226,2
227,1
228,11
229,103
230,233
231,170
232,213
233,45
234,9
236,1
239,3
243,1
244,1
249,3
250,2
251,6
252,1
254,2
255,2
256,1
257,1
267,1
282,1
284,1
287,1
290,1
292,2
294,2
295,1
296,1
305,1
311,1
312,1
359,1
392,1
394,1
406,2
411,1
415,1
420,1
435,1
471,1
472,1
479,1
499,45
514,1
519,1
523,1
530,3
531,10
534,1
538,1
543,30
545,2
553,11
557,1
569,1
578,12
584,1
585,2
588,31
590,1
591,26
594,12
606,8
607,7
608,1
610,37
612,1
617,1
619,1
636,1
637,12
639,27
643,1
756,1
778,1
804,1
945,1
1221,1
1545,1
1994,1
2069,1
2176,1
2350,1
2481,1
2735,1
