quantity,count
1,2238
2,779
3,418
4,360
5,246
6,193
7,130
8,105
9,76
10,222
11,49
12,68
13,45
14,42
15,91
16,32
17,33
18,40
19,129
20,79
21,22
22,26
23,19
24,33
25,29
26,23
27,26
28,74
29,20
30,741
31,8
32,14
33,9
34,16
35,16
36,15
37,7
38,14
39,9
40,42
41,13
42,33
43,14
44,7
45,32
46,1
47,4
48,11
49,3
50,174
51,33
52,11
53,25
54,15
55,93
56,19
57,17
58,3
59,8
60,43
61,6
62,26
63,8
64,11
65,15
66,5
67,4
68,4
69,5
70,33
71,6
72,4
73,9
74,6
75,14
76,70
77,7
78,19
79,5
80,15
81,5
82,5
83,7
84,4
85,9
86,7
87,13
88,4
89,6
90,10
91,3
92,12
93,3
94,22
95,8
96,6
97,12
98,17
99,45
100,49507
101,3
102,14
103,9
104,20
105,13
106,14
107,14
108,20
109,4
110,4
111,57
112,13
113,3
115,3
116,10
117,6
118,6
119,4
120,1
122,3
123,10
124,7
125,5
126,16
127,11
128,1
129,7
130,4
131,4
133,1
134,2
135,7
136,1
137,4
138,27
139,19
140,4
141,3
142,10
143,3
144,3
145,31
146,33
147,15
148,20
149,18
150,18
151,2
152,6
153,41
154,7
155,2
156,24
157,5
158,3
159,1
160,11
161,14
162,14
163,10
164,7
165,7
166,7
167,13
168,4
169,5
170,3
172,1
173,3
174,4
175,3
176,4
178,2
179,4
180,12
181,2
182,1
183,3
185,3
187,2
188,5
189,3
190,5
191,6
192,2
193,4
194,602
195,1
198,1
199,3
200,2441
201,4
202,28
206,1
207,17
208,24
209,30
213,2
214,4
216,3
217,14
218,24
219,3
220,6
221,3
222,19
223,9
224,14
225,109
226,48
227,5
228,22
229,2
230,7
232,4
234,32
235,3
238,3
239,5
240,1
241,1
242,5
243,189
244,170
245,32
246,40
247,376
248,4
249,4
250,22
251,22
252,95
253,43
254,5
255,4
256,65
257,14
258,2
259,1
260,1
261,3
263,12
264,73
265,2
272,47
273,42
274,41
277,4
278,18
279,44
287,2
288,38
289,2
298,24
299,1
300,5239
303,1
305,29
306,26
307,2
312,2
313,8
314,3
318,27
319,2
326,6
330,1
336,7
337,57
338,18
344,1
349,1
353,3
354,2
355,6
356,9
357,1
359,7
360,4
362,3
365,1
368,1
372,1
376,1
381,102
383,29
385,2
391,2
392,1
393,1
400,4351
406,9
410,1
414,1
415,1
443,1
448,1
450,1
461,3
469,5
473,1
475,1
484,1
491,7
496,1
500,2607
501,1
506,1
510,1
515,1
525,1
533,1
536,1
538,1
556,7
569,10
570,1
576,1
577,43
585,1
586,47
596,36
600,1118
606,1
608,1
625,1
638,15
640,1
669,1
675,1
676,30
680,1
698,1
700,200
721,1
738,3
757,1
800,254
812,1
873,1
876,1
900,232
992,1
1000,79
1100,69
1200,29
1400,14
1463,1
1500,1
1700,1
1843,1
1965,1
2000,41
2072,1
2200,1
2500,1
2502,1
3600,1
3652,1
4400,1
5000,2
