distance_ticks,count
0,98082
1,34299
2,17642
3,17011
4,19298
5,20180
6,16089
7,9957
8,7537
9,5176
10,3616
11,2535
12,1734
13,1247
14,1074
15,988
16,821
17,563
18,551
19,795
20,682
21,805
22,476
23,366
24,359
25,296
26,256
27,198
28,216
29,174
30,166
31,125
32,67
33,65
34,81
35,221
36,439
37,799
38,1093
39,1362
40,1281
41,907
42,408
43,82
44,17
45,4
46,4
47,5
48,8
49,13
50,13
51,9
52,9
53,5
54,2
55,6
56,1
57,4
58,3
59,3
60,6
62,4
63,2
64,1
65,1
66,3
67,8
68,5
69,3
70,4
71,4
72,3
73,5
74,4
75,4
76,1
78,3
79,4
83,3
84,1
85,1
86,1
87,3
88,2
89,1
90,2
91,12
92,42
93,163
94,410
95,393
96,476
97,330
98,46
99,12
100,5
101,5
102,1
103,1
104,6
105,5
106,21
107,118
108,478
109,652
110,828
111,733
112,523
113,813
114,375
115,630
116,66
117,11
118,3
119,2
120,4
121,1
122,3
124,2
125,1
127,1
129,1
133,1
134,1
137,4
138,1
139,2
140,1
141,3
142,1
143,3
144,30
145,180
146,520
147,274
148,446
149,54
150,6
151,7
152,3
153,1
154,2
156,1
157,1
158,5
159,1
160,5
161,1
162,3
164,1
165,1
166,2
168,2
169,1
171,1
172,2
173,2
174,1
175,6
177,5
178,1
179,2
180,4
181,17
182,3
183,4
184,4
185,6
186,1
187,1
188,1
189,1
197,1
199,1
201,1
202,2
203,1
204,1
206,1
207,2
208,2
217,1
219,1
220,1
221,1
226,1
227,2
230,1
231,1
235,6
236,2
237,3
239,2
240,1
241,1
244,4
252,2
254,2
255,3
258,2
259,2
266,1
272,24
273,189
274,357
275,362
276,331
277,135
278,25
279,6
280,2
281,1
282,3
283,1
289,1
292,3
293,1
294,13
295,13
299,17
300,2
301,1
304,1
315,2
319,1
320,1
327,1
340,1
341,1
347,1
365,1
366,3
374,1
379,1
516,1
523,1
590,1
622,1
624,1
626,1
627,4
628,4
629,2
630,7
640,2
653,11
684,6
729,2
730,9
732,1
733,9
738,5
740,2
750,1
756,1
757,1
758,9
766,4
772,6
776,3
785,9
789,5
792,1
804,4
805,1
820,2
842,1
959,5
974,6
980,1
1005,1
1011,1
1017,23
1051,1
1057,1
1217,1
1292,2
1492,1
3315,1
9995095,1
9996292,1
