quantity,count
1,46
2,47
3,28
4,14
5,74
6,22
7,12
8,14
9,13
10,96
11,10
12,8
13,11
14,19
15,44
16,15
17,37
18,10
19,9
20,57
21,16
22,21
23,15
24,20
25,13
26,13
27,9
28,23
29,9
30,340
31,6
32,27
33,9
34,5
35,4
36,2
37,4
38,4
39,8
40,118
41,6
42,48
43,2
44,6
45,3
46,15
47,2
49,9
50,11
51,1
52,1
54,5
58,2
59,3
60,8
61,3
62,1
63,2
64,2
65,2
66,2
68,1
69,7
70,47
71,1
72,17
74,2
75,4
76,6
79,6
80,19
81,2
82,3
83,6
85,3
86,2
87,3
88,3
90,5
91,13
93,14
94,5
95,76
96,87
97,3
98,23
99,12
100,9835
102,27
103,39
106,1
109,1
116,4
117,34
120,7
122,1
125,1
130,1
131,1
134,1
136,1
140,1
155,1
162,2
177,2
194,2
199,1
200,1696
203,1
233,1
250,1
263,1
273,1
275,1
298,1
300,337
307,1
328,1
383,2
400,533
439,1
500,558
600,21
678,1
800,57
900,89
1000,47
1090,1
1200,1
1300,1
1400,1
1500,8
1700,1
1800,1
1891,1
1900,1
2000,12
2200,1
2274,1
2800,1
3000,3
4600,1
5000,1
5100,1
6000,1
7430,1
10000,2
10564,1
13500,1
38250,1
