distance_ticks,count
0,50524
1,14650
2,2219
3,1400
4,2121
5,1577
6,1268
7,1401
8,1407
9,1127
10,1401
11,1493
12,853
13,554
14,281
15,194
16,117
17,70
18,63
19,33
20,34
21,23
22,15
23,22
24,25
25,28
26,45
27,71
28,60
29,38
30,22
31,13
32,12
33,13
34,8
35,7
36,5
37,10
39,8
40,3
41,4
42,5
43,13
44,25
45,163
46,256
47,201
48,491
49,153
50,383
51,379
52,159
53,259
54,14
55,3
56,32
57,28
58,47
59,53
60,63
61,98
62,117
63,156
64,107
65,160
66,278
67,179
68,53
69,96
70,78
71,109
72,90
73,70
74,52
75,24
76,7
77,10
79,1
80,3
85,4
86,2
89,1
92,5
93,2
94,1
95,2
96,1
97,2
98,2
100,1
101,2
102,5
103,2
104,3
105,3
106,1
107,1
109,1
113,3
114,1
115,1
116,1
119,2
120,1
122,2
124,4
125,4
127,2
128,1
129,1
130,4
131,91
132,65
133,83
134,59
135,4
136,3
138,1
139,3
141,1
148,2
152,3
154,3
155,3
156,1
160,3
169,1
187,3
195,1
197,1
206,3
214,4
221,1
223,3
224,2
232,1
235,1
244,1
252,1
260,1
267,1
283,1
304,1
311,1
312,1
313,1
323,1
324,1
346,1
347,1
384,2
420,3
423,1
428,2
437,1
444,1
448,2
449,2
451,36
453,1
455,1
456,2
457,1
458,36
462,1
464,1
478,1
480,28
481,1
483,3
497,1
500,6
502,1
504,1
515,9
519,1
537,11
9998367,1
9998419,1
