quantity,count
1,642
2,467
3,427
4,240
5,103
6,44
7,17
8,51
9,25
10,204
11,46
12,35
13,222
14,28
15,59
16,59
17,34
18,43
19,14
20,662
21,66
22,24
23,36
24,37
25,70
26,63
27,71
28,326
29,49
30,81
31,22
32,60
33,29
34,50
35,30
36,19
37,11
38,14
39,11
40,153
41,13
42,12
43,9
44,11
45,25
46,23
47,5
48,7
49,5
50,102
51,24
52,24
53,19
54,27
55,466
56,18
57,70
58,15
59,12
60,326
61,22
62,30
63,10
64,26
65,24
66,22
67,16
68,9
69,10
70,19
71,8
72,6
73,10
74,6
75,3
76,8
77,1
78,4
79,14
80,4
81,5
82,8
83,3
84,6
85,11
86,7
87,542
88,14
89,7
90,666
91,2
92,7
93,36
94,2
95,9
97,3
98,13
99,20
100,62336
101,5
102,39
103,1
104,9
105,16
106,2
107,7
108,77
109,4
110,43
111,8
112,10
113,97
114,5
115,11
116,9
117,8
118,7
119,7
120,6
121,8
122,14
123,7
124,14
125,12
126,8
127,12
128,4
129,4
130,7
131,15
132,6
133,11
134,13
135,14
136,11
137,9
138,4
139,10
140,3
141,6
142,8
143,4
144,9
145,5
146,7
147,3
148,8
149,8
150,54
151,13
152,7
153,10
154,11
155,8
156,11
157,21
158,5
159,4
160,8
161,9
162,6
163,10
164,12
165,16
166,5
167,9
168,13
169,7
170,12
171,11
172,5
173,9
174,11
175,8
176,8
177,6
178,3
179,1
180,20
181,8
182,8
183,2
184,9
185,9
186,11
187,100
189,7
190,6
191,4
192,8
193,2
194,3
195,3
196,2
197,3
198,6
199,2
200,5753
201,3
202,3
203,3
204,2
205,8
206,2
207,2
208,3
209,2
210,6
211,1
213,82
216,1
217,1
219,3
220,2
221,1
222,1
223,4
224,4
225,2
226,5
227,3
228,3
229,1
230,1
231,1
232,3
233,3
234,2
235,3
236,1
237,2
238,2
239,3
240,4
241,4
242,4
243,2
244,3
245,1
246,3
247,2
248,3
249,2
250,20
251,4
252,4
253,3
254,3
255,3
256,4
257,4
258,1
259,2
260,6
261,3
262,5
263,4
264,2
265,1
266,1
267,2
268,2
269,2
270,5
272,3
273,1
274,2
275,3
276,4
277,1
278,4
279,2
280,5
281,1
282,3
283,3
284,3
285,4
286,9
287,3
288,4
289,2
290,2
291,2
292,2
293,2
294,4
295,3
296,4
297,16
298,3
299,3
300,2160
301,2
302,2
303,8
304,3
305,24
306,4
307,2
308,4
309,2
310,10
311,3
312,6
313,118
314,3
315,3
316,4
317,4
318,3
320,15
321,1
322,2
323,1
324,5
325,19
326,3
327,5
328,3
329,13
330,7
331,1
335,5
336,3
338,46
339,1
340,5
341,4
342,2
343,7
344,1
345,4
346,1
347,1
348,1
350,11
351,6
352,1
353,2
354,1
357,43
358,2
360,5
361,2
363,1
364,1
365,1
366,3
367,2
369,1
370,9
373,1
377,2
379,2
381,1
383,5
384,1
385,1
386,1
387,2
389,1
392,2
393,11
397,1
398,3
400,3978
405,4
406,1
408,1
410,1
411,1
412,3
413,96
414,1
418,1
420,54
422,3
424,4
427,1
428,1
430,12
431,1
432,5
436,1
440,7
441,1
442,1
450,3
452,1
460,13
463,1
469,2
470,2
477,5
478,1
479,12
480,10
484,8
487,3
490,5
493,4
495,1
496,2
500,2028
503,1
506,1
510,1
512,1
513,44
515,2
518,1
538,1
544,1
550,2
568,1
594,1
600,2050
602,1
605,1
647,1
650,1
673,1
688,1
700,1006
725,1
737,1
776,2
800,209
850,1
873,2
874,2
900,189
907,40
911,30
945,1
972,10
989,8
1000,360
1031,36
1036,14
1040,3
1100,218
1105,1
1200,201
1241,1
1300,203
1367,2
1399,1
1400,134
1411,1
1438,1
1439,1
1500,65
1524,2
1573,1
1590,2
1600,1
1605,4
1628,5
1700,5
1769,1
1770,1
1800,3
1866,2
1887,1
1900,5
2000,72
2100,14
2149,2
2250,2
2300,1
2400,5
2500,35
2563,2
2600,2
2660,2
2700,3
2776,1
2800,8
2900,2
3000,10
3091,4
3100,6
3200,2
3300,8
3500,13
3600,3
3642,1
4000,11
4300,1
4400,1
4600,2
4700,1
4798,3
4900,3
5000,10
5200,1
5225,2
5250,1
5300,2
5500,1
5600,2
5800,1
6000,2
6270,2
6400,1
6800,2
6900,1
7000,5
7396,1
7500,1
7600,1
8200,1
8300,1
8700,1
9500,1
10000,11
14334,2
16200,1
