distance_ticks,count
0,18922
1,4043
2,2436
3,2120
4,2414
5,2240
6,2060
7,2037
8,1803
9,1466
10,1630
11,710
12,725
13,676
14,709
15,611
16,578
17,392
18,326
19,380
20,486
21,361
22,373
23,332
24,331
25,417
26,393
27,360
28,322
29,276
30,307
31,300
32,245
33,153
34,122
35,131
36,130
37,109
38,111
39,151
40,105
41,88
42,84
43,85
44,55
45,64
46,53
47,34
48,41
49,32
50,37
51,27
52,36
53,51
54,29
55,43
56,42
57,38
58,45
59,53
60,46
61,47
62,61
63,106
64,157
65,101
66,93
67,169
68,195
69,66
70,45
71,39
72,30
73,20
74,9
75,11
76,16
77,9
78,9
79,6
80,5
81,10
82,8
83,15
84,7
85,14
86,15
87,38
88,58
89,62
90,174
91,374
92,637
93,801
94,303
95,54
96,43
97,12
98,36
99,23
100,36
101,27
102,43
103,88
104,150
105,420
106,589
107,116
108,34
109,19
110,9
111,9
112,5
113,5
114,9
115,21
116,38
117,103
118,360
119,573
120,174
121,48
122,66
123,158
124,283
125,468
126,135
127,51
128,41
129,16
130,8
131,2
132,1
133,2
134,1
135,2
137,3
138,1
139,1
140,6
141,6
142,4
143,3
144,1
145,2
147,2
149,1
150,1
152,1
153,5
155,1
157,2
158,4
159,2
160,1
162,2
163,5
164,6
165,1
166,1
167,4
168,2
169,1
170,1
171,1
173,1
174,2
175,2
176,1
178,3
179,1
181,1
183,2
184,2
185,1
187,1
190,1
191,2
192,1
193,2
195,4
196,2
197,3
198,3
199,2
200,2
201,2
202,3
203,1
204,2
205,1
207,2
208,1
209,3
210,3
212,2
213,6
215,2
216,1
218,2
219,2
221,1
225,1
226,6
227,1
228,10
229,5
230,3
232,1
235,2
236,1
239,1
242,24
243,1
245,1
247,1
248,23
250,4
256,2
257,2
262,1
264,4
267,1
268,1
269,2
272,4
274,1
275,3
276,1
278,24
279,1
281,1
288,2
295,2
296,2
299,2
300,2
314,24
315,23
319,23
328,3
329,2
331,5
332,1
333,4
334,8
335,10
336,10
337,17
338,21
339,33
340,63
341,178
342,166
343,70
344,37
345,30
346,14
347,8
348,5
349,8
350,2
351,1
352,2
353,1
354,1
355,1
356,4
360,1
364,4
365,24
390,2
393,1
399,2
400,1
408,1
419,1
428,1
441,1
453,1
455,1
483,1
491,3
499,1
500,2
504,1
508,1
509,2
520,1
528,1
542,1
544,1
547,1
552,1
555,1
580,1
594,2
600,1
607,1
612,23
619,3
626,1
628,1
629,1
630,23
639,23
642,1
647,6
648,1
650,1
651,6
661,1
666,1
676,1
700,23
719,1
728,1
734,1
743,1
749,1
760,1
769,1
775,1
780,1
787,24
790,17
813,1
819,3
824,1
830,5
832,2
833,19
841,1
858,1
867,1
877,1
908,1
910,1
918,24
920,1
921,1
928,1
945,1
949,1
975,1
994,1
1064,1
1070,1
1104,1
1153,1
1195,1
1240,1
1244,1
1328,1
1342,1
1444,1
1500,1
1564,1
6918,1
6967,1
7336,1
8000,1
8320,1
