distance_ticks,count
0,361
1,127
2,56
3,93
4,82
5,64
6,50
7,41
8,26
9,30
10,44
11,44
12,43
13,32
14,16
15,9
16,10
17,13
18,21
19,13
20,9
21,15
22,15
23,25
24,15
25,21
26,20
27,30
28,29
29,26
30,14
31,14
32,15
33,12
34,6
35,2
36,3
37,7
38,3
39,1
41,3
42,6
43,4
44,7
45,2
46,5
47,4
48,5
49,1
53,3
54,2
58,2
59,2
61,3
66,1
75,1
84,3
85,3
88,24
89,1
91,3
93,26
95,1
96,6
97,1
98,1
99,5
100,39
101,21
102,20
103,21
104,18
105,9
106,19
107,7
112,14
113,15
114,12
115,22
116,19
122,1
141,1
146,2
154,1
156,1
183,1
194,1
236,1
304,1
346,1
383,1
402,1
