quantity,count
1,394
2,106
3,92
4,63
5,421
6,34
7,39
8,18
9,27
10,1132
11,14
12,59
13,31
14,53
15,518
16,34
17,69
18,40
19,63
20,44
21,63
22,66
23,70
24,83
25,121
26,52
27,99
28,73
29,140
30,1258
31,206
32,6
33,20
34,22
35,118
36,52
37,15
38,64
39,17
40,50
41,6
42,16
43,10
44,8
45,31
46,9
47,102
48,13
49,15
50,35
51,12
52,6
53,11
54,15
55,7
56,14
57,9
58,10
59,15
60,11
61,14
62,12
63,19
64,17
65,6
66,11
67,24
68,13
69,5
70,11
71,11
72,17
73,8
74,2
75,5
76,10
77,2
78,11
79,7
80,8
81,4
82,16
83,28
84,9
85,9
86,5
87,2
88,2
89,8
90,11
91,5
92,3
93,6
94,11
95,30
96,16
97,21
98,10
99,80
100,30264
101,1
102,3
103,3
104,5
106,3
107,3
108,2
109,1
110,2
111,3
112,2
114,2
115,3
116,1
118,1
119,2
120,6
121,1
122,1
123,2
124,1
125,1
127,1
129,29
131,2
134,41
135,1
136,1
137,1
138,1
139,35
141,4
144,3
145,2
146,4
147,2
149,1
150,25
151,1
153,4
155,1
156,1
157,2
158,1
159,2
161,10
162,2
167,1
170,5
176,1
178,2
182,1
184,1
185,1
186,1
188,1
189,3
190,6
191,1
194,2
195,3
196,11
197,2
198,2
199,37
200,7019
215,1
220,1
225,2
228,3
232,1
246,1
250,10
253,1
272,1
297,1
298,1
300,216
373,4
389,1
400,71
420,2
427,1
428,6
441,1
449,2
451,43
464,107
466,63
475,1
479,96
500,41
512,6
527,4
532,14
551,12
600,47
666,3
695,3
700,42
790,1
792,2
800,2
900,12
928,1
1000,57
1002,1
1022,1
1100,1
1300,1
1900,1
2000,1
3500,1
4000,1
7600,2
