quantity,count
1,110
2,25
3,21
4,20
5,26
6,9
7,14
8,9
9,8
10,10
11,2
12,2
13,2
14,5
15,7
17,2
19,1
20,4
21,2
22,1
23,1
24,1
25,9
28,2
30,4
32,1
33,2
34,1
35,3
36,2
38,1
40,3
42,3
43,2
44,2
45,6
48,2
50,22
52,2
54,1
55,2
56,5
57,2
60,8
62,2
63,2
65,1
68,2
70,10
71,2
74,1
75,5
76,3
77,3
79,2
80,9
81,1
82,2
83,3
84,2
86,1
87,1
89,2
90,2
92,3
93,2
94,2
95,2
97,1
98,1
100,5026
110,9
111,1
112,1
114,2
121,1
123,1
126,1
130,3
132,1
134,2
135,1
140,1
145,1
146,4
147,2
148,1
149,1
150,16
151,1
155,2
158,1
167,1
170,2
180,1
185,1
186,1
188,2
189,1
190,1
195,1
198,1
199,1
200,1293
209,2
211,1
212,1
220,3
231,2
244,1
248,1
250,6
252,1
259,1
268,1
278,1
280,1
284,4
285,1
290,2
294,1
297,1
298,1
300,1313
311,1
325,1
330,1
345,1
348,1
350,19
363,1
365,1
367,1
385,1
400,691
403,1
410,1
418,1
422,1
425,2
434,1
440,2
446,1
450,2
451,1
452,1
454,1
460,18
463,1
480,2
490,1
491,1
500,783
503,1
504,1
510,2
520,1
530,2
540,3
550,15
557,1
558,1
577,2
580,2
581,1
585,1
590,3
598,1
600,1150
605,1
610,2
617,1
620,1
628,1
648,1
653,1
661,1
665,1
671,1
675,1
689,1
690,2
699,1
700,658
709,1
712,1
718,1
732,2
735,1
750,5
760,1
770,6
780,1
800,306
816,1
850,7
859,3
885,1
890,1
892,2
900,323
915,1
936,1
950,3
963,1
1000,367
1006,1
1028,1
1060,3
1100,224
1107,1
1108,16
1137,1
1140,1
1169,1
1170,4
1188,4
1200,98
1205,1
1218,1
1222,1
1241,1
1250,3
1253,1
1270,1
1274,1
1300,95
1320,2
1325,3
1327,30
1339,6
1340,1
1350,1
1354,2
1355,1
1400,45
1415,1
1438,2
1465,1
1466,1
1470,2
1475,2
1482,1
1500,149
1514,1
1600,68
1630,5
1640,1
1642,1
1650,1
1678,1
1700,30
1750,1
1763,1
1764,1
1768,2
1788,2
1798,1
1800,25
1830,1
1857,1
1873,1
1875,1
1897,1
1900,34
1919,3
1930,1
1950,1
1966,1
1971,1
1981,1
1982,1
1986,1
1988,1
1990,1
2000,145
2100,11
2144,1
2200,14
2250,1
2253,1
2300,11
2362,1
2396,1
2400,12
2431,1
2441,1
2450,2
2500,56
2567,1
2600,12
2630,1
2640,5
2648,1
2650,2
2690,2
2700,22
2710,2
2720,3
2743,1
2797,1
2800,16
2812,1
2900,13
2940,2
2976,1
3000,53
3020,2
3021,1
3050,1
3075,4
3080,1
3100,10
3110,1
3130,2
3150,1
3170,1
3180,3
3200,12
3219,2
3220,1
3292,2
3300,10
3310,1
3350,1
3370,1
3377,3
3382,1
3400,11
3430,1
3450,2
3500,57
3530,1
3545,2
3600,11
3700,4
3800,5
3830,4
3831,2
3896,4
3900,16
3940,1
3941,1
3970,1
3976,1
3980,1
4000,37
4050,1
4073,2
4099,1
4100,17
4153,1
4167,2
4185,2
4190,1
4200,24
4220,1
4250,1
4267,1
4300,15
4310,1
4350,2
4390,3
4400,14
4450,1
4480,2
4500,32
4520,2
4600,19
4625,1
4627,1
4700,4
4750,1
4760,2
4800,2
4805,1
4900,1
4978,1
5000,43
5020,1
5100,2
5200,9
5300,10
5373,1
5400,6
5512,2
5600,1
5601,1
5610,1
5700,19
5800,2
5862,1
5900,10
6000,19
6139,1
6270,3
6286,1
6300,1
6400,1
6500,2
6519,1
6700,1
6772,2
6800,1
7000,33
7100,1
7200,1
7375,2
7500,5
7600,1
7625,1
8000,14
8100,2
8300,1
8700,1
8775,1
9000,7
9100,1
9200,1
9575,1
9600,1
9800,3
9900,1
10000,55
10001,1
10158,1
10817,1
10937,1
11000,16
11196,1
11335,1
11650,3
11847,2
12000,10
12194,1
12500,2
13000,7
13450,1
13500,1
14000,18
14271,1
14400,1
15000,42
15500,1
15577,1
15750,1
16000,5
16098,1
16775,1
17000,2
17700,2
18000,1
18500,1
18840,1
19000,4
19133,1
19500,1
20000,23
21000,5
22000,6
23000,1
23684,1
25000,1
26000,2
27600,1
28000,2
29000,2
30000,3
30400,1
31000,2
32900,2
35000,1
35885,1
36000,8
36600,1
37000,1
37500,2
40000,3
44000,1
45387,1
45783,1
45784,1
47500,2
48000,3
50000,2
51000,1
53000,1
65000,1
68100,1
70000,2
73800,1
85000,1
90000,1
96450,1
100000,3
108788,1
123515,1
153750,1
187499,2
247700,1
357501,1
579375,1
600000,1
752500,1
825551,1
