distance_ticks,count
0,1972
1,474
2,234
3,122
4,290
5,141
6,147
7,134
8,71
9,66
10,57
11,38
12,28
13,17
14,22
15,13
16,16
17,15
18,8
19,11
20,7
21,15
22,10
23,19
24,19
25,30
26,54
27,32
28,70
29,75
30,61
31,17
32,4
33,6
34,6
35,10
36,7
37,1
38,6
39,5
40,10
41,5
42,1
43,6
44,8
45,8
46,5
47,4
48,22
49,2
50,7
51,5
52,1
53,4
54,3
55,5
56,3
57,2
58,7
59,9
60,15
61,2
62,6
63,4
64,5
65,12
66,7
67,8
68,10
69,10
70,16
71,17
72,6
73,11
74,20
75,44
76,26
77,6
78,8
79,2
80,1
81,6
82,1
83,3
84,1
85,2
86,6
87,1
88,3
89,1
90,7
91,20
94,1
95,2
96,5
97,2
98,7
99,2
100,3
101,4
103,3
104,5
106,1
110,6
111,4
112,1
113,1
114,1
115,5
116,4
117,3
118,2
119,2
120,4
121,3
123,5
124,1
125,1
126,3
127,1
129,1
130,7
131,1
132,1
133,1
134,2
135,4
136,4
138,1
139,1
140,3
141,3
145,3
146,13
148,4
150,3
151,1
152,1
153,1
155,2
156,1
159,1
160,6
165,1
166,2
169,2
170,1
173,8
174,1
175,2
181,1
185,2
186,1
189,1
190,3
191,3
195,1
196,4
198,4
199,1
202,3
205,1
206,1
207,1
209,1
210,5
215,2
216,3
222,2
223,7
224,5
225,1
226,20
227,5
234,1
235,2
236,1
237,4
239,20
244,2
248,7
249,3
251,26
252,2
254,27
255,1
257,17
258,3
260,1
263,1
265,2
266,3
271,2
273,4
274,21
276,1
277,1
278,1
279,17
280,3
281,1
282,21
283,1
290,1
291,5
298,3
299,2
305,1
310,1
315,1
316,1
321,1
323,2
330,2
334,2
335,2
341,1
346,2
348,4
364,1
366,1
371,1
394,1
398,8
421,2
441,1
446,1
490,1
491,3
498,3
510,1
541,1
548,1
591,2
598,1
646,2
790,1
802,1
810,1
817,1
848,1
949,1
1646,1
