quantity,count
1,270
2,199
3,196
4,96
5,95
6,53
7,34
8,41
9,49
10,34
11,41
12,17
13,35
14,29
15,34
16,31
17,23
18,20
19,13
20,32
21,25
22,24
23,21
24,35
25,20
26,65
27,24
28,18
29,32
30,22
31,22
32,24
33,24
34,14
35,22
36,25
37,161
38,9
39,12
40,10
41,10
42,11
43,7
44,9
45,12
46,13
47,12
48,11
49,38
50,61
51,19
52,12
53,11
54,10
55,13
56,6
57,5
58,9
59,13
60,9
61,10
62,8
63,34
64,13
65,19
66,4
67,12
68,10
69,7
70,9
71,12
72,12
73,15
74,32
75,18
76,9
77,9
78,12
79,7
80,12
81,8
82,7
83,9
84,11
85,8
86,7
87,11
88,7
89,8
90,15
91,17
92,8
93,5
94,9
95,31
96,22
97,18
98,19
99,28
100,997
101,2
102,1
104,2
105,2
107,2
111,3
112,2
114,1
115,1
117,1
121,1
123,1
125,3
128,1
131,1
132,1
135,1
136,1
138,1
140,1
141,4
144,1
148,1
149,1
152,1
154,1
156,2
158,1
165,2
167,2
168,1
169,1
171,1
176,1
177,1
179,1
186,2
189,1
190,1
191,1
192,1
199,3
200,54
203,1
208,1
213,1
216,1
232,1
234,1
235,1
237,2
243,1
248,1
249,1
251,1
273,1
279,1
288,1
298,1
299,1
300,7
330,1
349,1
400,2
427,1
486,1
500,2
502,1
698,1
700,1
763,1
810,1
880,1
900,2
931,1
933,1
997,1
999,1
1000,14
