quantity,count
1,82
2,9
3,18
4,83
5,59
6,9
7,9
8,6
9,8
10,111
11,3
12,7
13,5
14,8
15,90
16,4
17,14
18,14
19,8
20,79
21,11
22,11
23,9
24,11
25,13
26,29
27,22
28,23
29,39
30,929
32,1
33,7
34,3
35,3
36,4
38,6
39,2
40,37
41,2
42,9
43,2
44,1
46,6
47,3
48,4
49,5
50,84
51,3
52,2
54,10
55,2
57,3
58,1
59,3
60,21
61,1
62,1
63,3
64,1
65,3
66,1
68,1
70,18
71,7
72,2
73,2
74,1
75,3
76,3
77,2
78,1
80,11
82,3
83,4
85,4
87,63
88,7
89,1
90,2
91,1
92,4
93,1
94,1
95,3
96,1
97,3
98,13
99,2
100,13965
101,1
102,1
103,1
109,3
110,1
116,1
117,1
121,2
122,1
125,2
129,1
130,1
131,1
137,4
140,1
143,2
146,42
149,23
150,4
154,1
156,1
161,1
163,3
164,1
167,1
168,1
170,3
171,1
172,1
173,23
176,40
180,2
181,1
183,1
186,61
187,1
188,4
190,2
192,25
196,2
198,3
199,1
200,1426
202,1
204,1
205,10
212,7
214,36
223,1
241,1
242,1
244,1
250,5
254,1
269,2
271,1
296,1
299,1
300,745
316,1
327,2
350,1
368,1
375,2
400,434
411,2
413,2
440,1
444,1
450,2
475,1
485,1
500,393
531,1
539,1
550,2
574,1
575,2
600,182
678,1
700,127
709,1
800,87
900,57
937,1
969,1
1000,76
1013,1
1022,1
1080,2
1100,44
1152,1
1400,3
1500,3
1600,5
1700,2
1800,2
1823,1
2000,21
2100,1
2200,1
2247,1
2500,7
2800,1
3000,3
3300,1
3800,1
3900,1
4200,1
4834,1
5000,7
5500,1
7000,1
7800,1
8000,1
