quantity,count
1,92
2,39
3,25
4,1
5,90
7,2
8,6
9,9
10,187
11,22
12,3
13,3
14,2
15,212
16,12
17,5
18,3
19,6
20,21
21,4
22,19
23,10
24,5
25,29
26,48
27,41
28,32
29,14
30,104
31,2
32,11
33,31
34,11
35,14
36,8
38,1
39,4
40,7
41,9
42,5
43,6
44,4
45,5
46,3
47,10
48,3
49,4
50,6
51,2
52,6
53,8
54,9
55,6
56,1
57,4
58,11
59,75
60,7
61,3
62,11
63,4
64,5
65,6
66,3
67,1
68,2
69,4
70,8
71,6
72,1
73,4
74,8
75,3
77,2
78,1
79,2
80,71
81,3
82,1
83,3
84,4
85,2
87,3
88,4
89,4
90,9
91,2
92,3
93,3
94,3
95,4
96,3
97,4
98,19
99,6
100,10274
101,1
102,4
103,2
104,2
105,2
106,2
107,1
110,1
113,2
114,1
117,1
124,1
125,1
132,1
142,1
146,2
148,1
150,5
157,63
160,1
162,34
165,79
173,15
175,1
180,1
188,150
194,105
195,1
199,1
200,790
214,1
222,1
240,2
250,2
267,1
273,1
295,1
298,1
300,123
302,3
360,1
400,36
453,1
478,1
495,1
500,93
590,1
600,4
652,2
700,13
780,1
800,7
900,3
932,1
1000,15
1100,1
1121,1
1142,1
1147,1
1247,1
1252,1
1500,3
1600,1
1815,1
2000,3
2475,1
8000,1
