quantity,count
1,4633
2,1645
3,1115
4,651
5,1020
6,422
7,368
8,387
9,395
10,2155
11,181
12,177
13,120
14,159
15,354
16,123
17,79
18,103
19,104
20,415
21,96
22,87
23,79
24,94
25,244
26,69
27,89
28,75
29,68
30,161
31,63
32,68
33,55
34,54
35,79
36,60
37,81
38,56
39,53
40,109
41,40
42,62
43,52
44,54
45,59
46,46
47,59
48,41
49,69
50,525
51,42
52,35
53,41
54,37
55,42
56,26
57,41
58,49
59,21
60,73
61,40
62,33
63,26
64,38
65,43
66,25
67,46
68,32
69,40
70,56
71,46
72,39
73,35
74,42
75,158
76,28
77,27
78,40
79,50
80,93
81,27
82,41
83,24
84,42
85,50
86,31
87,33
88,40
89,32
90,72
91,48
92,56
93,43
94,30
95,92
96,45
97,81
98,72
99,122
100,1792
101,5
102,3
103,3
106,1
107,2
108,2
109,3
110,3
111,3
113,1
114,3
115,6
116,1
117,2
118,4
120,6
122,2
124,2
125,6
127,1
129,2
130,4
131,1
132,2
134,2
135,2
136,1
137,1
138,2
140,3
143,1
145,2
146,3
148,1
150,6
151,1
154,2
156,2
157,3
161,1
163,1
164,1
165,1
169,1
172,1
173,2
183,2
185,2
186,2
187,1
188,1
189,1
190,2
191,2
193,1
194,2
195,1
197,2
198,3
199,3
200,36
201,1
202,1
210,2
224,1
225,1
229,2
237,1
239,1
242,1
262,1
267,1
277,1
279,1
285,1
286,1
292,1
295,1
296,1
300,5
305,1
315,1
326,1
327,1
350,1
363,1
369,1
374,1
398,2
399,1
400,3
401,1
423,1
450,1
500,2
505,1
558,1
637,1
662,1
666,1
686,1
704,1
760,1
776,1
833,1
891,1
908,1
926,1
936,1
949,1
1000,1
1144,1
1500,1
3900,1
