quantity,count
1,107
2,14
3,13
4,11
5,65
6,4
7,3
8,1
9,5
10,245
11,6
12,19
13,10
14,1
15,70
16,4
17,1
18,4
19,1
20,51
21,1
22,7
23,6
24,14
25,14
26,12
27,6
28,4
29,7
30,55
31,13
32,2
33,9
34,3
35,4
36,15
37,1
38,2
39,2
40,17
41,2
42,4
43,7
44,9
45,1
46,7
47,4
48,2
49,2
50,35
51,6
52,7
53,7
54,6
55,5
56,3
57,5
58,1
59,1
60,4
61,3
62,5
63,5
64,6
66,4
67,4
68,3
70,26
71,4
74,2
75,3
78,1
80,2
83,1
84,4
88,1
89,2
90,10
91,2
93,2
94,5
95,4
97,2
98,9
99,1
100,6485
103,1
104,2
119,2
120,1
121,1
125,3
126,1
132,1
133,1
136,2
142,1
146,1
148,1
150,1
151,7
152,2
156,1
161,2
166,1
175,2
181,1
182,1
189,1
199,1
200,353
209,1
211,1
225,2
235,1
250,1
252,1
270,2
300,174
337,1
339,1
346,2
400,18
418,2
500,77
523,2
569,1
600,16
700,23
746,2
800,19
900,34
1000,6
1100,1
1300,1
1500,1
1782,2
2000,2
2500,3
4500,1
7000,1
7500,1
7593,2
10000,1
