distance_ticks,count
0,6848
1,1337
2,486
3,231
4,217
5,301
6,289
7,231
8,162
9,166
10,364
11,497
12,551
13,324
14,128
15,94
16,106
17,120
18,73
19,40
20,34
21,22
22,27
23,22
24,18
25,24
26,21
27,28
28,21
29,5
30,6
31,2
32,2
33,4
34,1
35,2
36,1
37,1
38,4
39,1
40,5
41,12
42,14
43,29
44,29
45,55
46,47
47,226
48,311
49,437
50,252
51,133
52,139
53,169
54,68
55,105
56,64
57,19
58,4
59,6
60,3
61,1
62,8
63,2
64,8
65,7
66,12
67,4
68,3
69,2
70,6
71,5
72,7
73,4
74,3
75,2
76,3
77,2
78,2
80,3
82,1
83,3
84,1
85,1
86,2
88,3
89,2
90,1
92,1
93,1
94,3
95,1
96,1
97,2
99,2
100,2
101,1
103,1
104,1
105,2
110,1
112,3
113,2
114,3
115,1
116,3
118,5
120,4
121,2
122,4
124,2
126,1
127,2
128,4
129,1
131,4
133,1
134,3
139,2
140,6
141,7
142,24
143,87
144,31
145,9
146,1
147,1
149,1
150,1
152,1
159,1
160,2
162,4
165,1
169,1
172,1
174,1
182,1
184,2
188,2
189,1
194,2
195,1
196,3
199,1
201,2
204,1
207,1
210,2
213,1
223,1
228,1
229,1
230,6
232,1
236,1
241,1
244,1
245,1
246,1
291,1
293,7
295,1
304,1
315,1
334,1
339,1
346,1
349,1
359,1
360,1
367,1
399,1
400,1
415,1
419,1
429,3
433,3
434,1
435,2
438,18
440,1
451,1
452,1
458,1
459,2
460,2
468,6
469,1
470,1
471,2
474,2
475,16
478,12
480,12
481,8
484,16
485,8
491,10
492,1
507,4
515,12
519,1
524,1
526,1
527,24
570,1
575,1
587,1
596,2
752,1
