distance_ticks,count
0,8024
1,5723
2,2371
3,1261
4,571
5,510
6,371
7,597
8,396
9,402
10,394
11,302
12,318
13,380
14,556
15,537
16,522
17,429
18,790
19,827
20,592
21,342
22,206
23,132
24,78
25,84
26,78
27,113
28,81
29,54
30,48
31,38
32,29
33,19
34,14
35,17
36,16
37,5
38,17
39,10
40,11
41,6
42,6
43,8
44,5
45,5
46,4
47,9
48,4
49,13
50,12
51,70
52,5
53,9
54,8
55,5
56,3
57,4
58,10
59,8
60,7
61,9
62,6
63,4
64,6
65,3
66,8
67,5
68,7
69,15
70,13
71,13
72,16
73,11
74,18
75,34
76,33
77,25
78,25
79,42
80,45
81,67
82,74
83,189
84,490
85,376
86,260
87,194
88,135
89,203
90,362
91,445
92,267
93,136
94,196
95,257
96,222
97,95
98,30
99,14
100,9
101,5
102,7
103,3
105,20
106,1
107,1
108,1
109,7
110,1
112,2
113,1
118,1
119,1
120,1
121,1
124,2
125,1
126,4
128,2
131,2
132,1
133,1
134,2
136,1
137,1
139,2
140,2
141,2
142,2
143,2
144,1
145,3
146,6
147,2
148,1
149,1
150,4
151,2
154,1
155,1
156,1
157,1
158,1
160,1
161,1
162,1
166,1
167,2
168,2
170,2
173,1
175,1
176,1
178,4
179,1
180,1
181,3
184,1
187,4
188,1
191,1
192,1
193,1
198,2
199,5
200,4
201,3
202,5
203,9
204,6
205,8
206,15
207,7
208,15
209,23
210,39
211,62
212,86
213,134
214,112
215,55
216,34
217,18
218,20
219,15
220,14
221,5
222,1
223,6
225,2
226,1
227,2
229,1
230,1
232,1
233,2
235,1
237,1
240,4
241,1
243,3
252,3
253,1
254,1
259,1
260,1
262,1
274,4
276,1
277,1
278,3
281,1
284,1
286,1
299,1
306,1
309,1
312,1
317,1
320,1
321,1
327,1
330,1
331,1
333,3
350,1
351,4
353,1
359,1
360,3
363,1
366,2
367,1
371,1
382,3
385,1
397,3
399,2
401,2
417,1
418,1
422,2
440,3
449,1
450,1
463,1
478,3
486,3
495,3
502,1
519,1
528,1
558,1
572,1
575,1
588,3
668,3
680,1
698,1
724,1
731,1
732,1
735,1
748,3
772,1
787,1
793,7
800,2
802,1
804,1
809,2
811,18
823,1
831,25
869,1
876,1
877,11
879,15
882,4
885,1
887,28
908,1
914,1
921,25
927,3
933,3
956,3
978,4
1020,1
1023,1
1051,3
1054,2
1144,2
9996850,1
9996958,1
