distance_ticks,count
0,1499
1,166
2,83
3,66
4,60
5,60
6,56
7,44
8,30
9,28
10,31
11,22
12,25
13,31
14,27
15,30
16,28
17,100
18,56
19,36
20,21
21,25
22,23
23,12
24,13
25,19
26,9
27,8
28,8
29,7
30,10
31,10
32,10
33,11
34,23
35,19
36,25
37,57
38,56
39,88
40,56
41,32
42,46
43,47
44,8
45,11
46,3
47,9
48,2
49,15
50,2
51,1
53,1
55,1
57,1
58,3
59,3
60,1
61,1
64,2
65,1
68,1
69,2
71,3
72,3
73,2
74,1
75,3
76,2
77,4
78,2
79,1
81,1
83,1
84,1
85,3
87,1
89,2
90,2
91,1
94,1
95,3
96,3
97,2
98,3
100,4
101,2
102,5
103,5
104,3
105,4
106,5
107,1
108,1
109,4
110,6
111,10
112,3
113,6
114,3
115,2
116,1
119,1
120,2
121,1
123,1
124,1
126,2
127,1
128,1
129,1
131,1
134,1
135,1
136,1
137,3
141,3
143,1
148,5
149,1
150,1
151,1
153,1
154,3
156,2
160,1
161,2
163,1
164,1
166,1
167,1
168,4
171,1
177,1
180,1
181,1
183,1
184,3
185,2
192,1
193,1
195,1
196,2
198,1
199,1
200,1
201,1
202,1
208,1
210,1
216,1
217,1
218,2
219,1
222,1
223,2
224,3
229,1
231,2
232,1
236,2
243,1
251,1
252,1
253,1
254,1
264,1
265,1
268,2
269,1
276,1
277,2
285,1
292,1
296,2
307,1
316,1
317,2
322,1
326,2
333,1
344,2
345,3
347,4
348,2
351,1
356,1
362,1
368,1
369,2
374,27
375,8
377,19
380,4
388,1
389,2
391,3
394,1
398,1
406,4
409,18
424,7
426,2
432,1
441,6
479,3
480,3
511,7
519,7
1260,1
1354,1
