distance_ticks,count
0,2137
1,789
2,442
3,604
4,348
5,351
6,240
7,201
8,167
9,119
10,101
11,88
12,96
13,118
14,140
15,147
16,142
17,89
18,71
19,77
20,77
21,39
22,46
23,79
24,71
25,115
26,48
27,20
28,27
29,12
30,15
31,9
32,14
33,17
34,15
35,13
36,20
37,17
38,9
39,18
40,25
41,20
42,5
43,7
44,12
45,14
46,14
47,12
48,11
49,15
50,5
51,12
52,9
53,18
54,18
55,16
56,24
57,48
58,39
59,72
60,61
61,28
62,13
63,12
64,10
65,6
66,3
67,1
68,3
69,1
70,2
71,2
72,2
73,6
74,4
75,5
76,2
77,1
78,2
79,7
80,2
81,2
82,1
83,4
84,3
86,1
87,1
88,2
89,1
90,1
91,1
92,5
93,3
94,6
95,1
97,1
107,2
108,1
109,1
110,1
111,1
112,5
113,1
114,1
115,2
117,1
122,3
125,4
126,2
127,2
128,1
129,3
130,1
131,3
132,1
133,8
134,29
135,7
136,18
137,18
139,1
140,18
141,3
143,1
144,18
147,20
148,23
150,17
154,1
156,1
158,2
159,2
160,1
161,4
163,1
167,3
168,3
170,1
173,11
174,1
175,7
176,1
177,1
180,18
181,20
182,18
183,1
186,1
190,2
205,3
208,3
212,3
221,1
222,39
224,1
225,19
226,2
228,3
230,1
232,5
236,20
248,1
253,6
256,5
282,1
285,1
308,1
320,1
326,1
382,1
383,3
385,1
443,1
451,1
479,1
483,1
493,1
511,1
583,2
585,1
736,1
800,1
1379,1
19999485,1
