distance_ticks,count
0,38165
1,11568
2,10340
3,9505
4,6887
5,6147
6,5395
7,4377
8,4133
9,4021
10,4069
11,3797
12,3947
13,3826
14,3350
15,2897
16,2568
17,2462
18,2174
19,1648
20,1483
21,1191
22,1089
23,899
24,716
25,676
26,545
27,532
28,465
29,418
30,364
31,253
32,247
33,227
34,244
35,258
36,170
37,175
38,190
39,131
40,159
41,123
42,123
43,193
44,161
45,99
46,106
47,78
48,101
49,73
50,90
51,90
52,78
53,75
54,71
55,64
56,40
57,47
58,45
59,43
60,24
61,30
62,37
63,27
64,33
65,28
66,23
67,29
68,22
69,24
70,21
71,20
72,26
73,27
74,28
75,18
76,18
77,20
78,23
79,22
80,19
81,23
82,13
83,16
84,10
85,18
86,18
87,20
88,14
89,19
90,28
91,26
92,19
93,20
94,17
95,11
96,9
97,12
98,13
99,14
100,13
101,11
102,17
103,15
104,10
105,10
106,7
107,15
108,12
109,6
110,12
111,6
112,11
113,14
114,11
115,18
116,11
117,21
118,13
119,13
120,11
121,16
122,13
123,9
124,20
125,22
126,12
127,9
128,11
129,12
130,11
131,11
132,13
133,15
134,7
135,8
136,3
137,5
138,3
139,4
140,4
141,3
142,3
143,3
144,4
145,9
146,7
147,9
148,1
149,4
150,6
151,4
152,4
153,7
154,1
155,7
156,4
157,3
158,6
159,4
160,2
161,5
162,5
163,2
164,4
165,2
166,3
167,3
168,2
169,4
170,5
171,2
172,6
173,11
174,12
175,112
176,485
177,1050
178,425
179,249
180,106
181,20
182,12
183,8
184,11
185,27
186,94
187,257
188,673
189,1020
190,339
191,105
192,33
193,7
194,8
195,4
196,2
197,1
198,4
199,3
200,6
201,8
202,14
203,52
204,149
205,371
206,586
207,413
208,123
209,1
210,2
211,3
212,4
213,2
214,7
215,2
216,2
217,4
218,4
219,7
220,6
221,3
222,4
223,7
224,6
225,8
226,12
227,22
228,22
229,40
230,91
231,232
232,633
233,1041
234,1123
235,472
236,115
237,27
238,6
239,6
240,7
241,5
242,4
243,1
244,1
245,2
246,3
247,2
248,1
249,1
250,1
251,5
252,4
253,3
254,2
255,1
256,3
257,1
259,1
261,3
262,7
264,1
265,1
266,3
269,3
270,7
271,3
273,1
275,5
276,1
277,1
278,2
282,1
283,1
285,1
286,1
287,2
288,1
289,2
291,1
292,2
293,1
294,1
296,1
298,1
299,3
300,2
301,2
303,2
306,1
307,2
308,1
309,5
310,3
312,1
313,9
314,2
315,2
316,1
319,2
320,1
322,2
323,3
324,1
327,2
329,1
333,4
334,4
338,2
341,1
343,3
344,2
346,1
349,2
351,2
352,1
353,2
354,2
355,2
356,2
358,1
359,1
360,2
362,3
363,2
366,2
367,1
370,6
371,1
372,1
373,2
375,3
377,4
378,3
379,4
380,5
381,3
383,1
385,4
386,1
388,4
389,5
390,1
391,1
392,1
398,2
400,2
403,1
405,1
406,2
409,6
410,1
411,3
412,2
414,1
416,1
418,1
419,2
420,1
423,10
426,1
427,1
428,3
430,1
432,6
434,1
436,1
438,1
440,1
445,1
446,1
447,3
449,1
452,2
454,1
455,1
458,1
459,3
460,1
461,2
462,5
464,4
468,2
470,3
473,5
474,36
477,1
478,1
482,1
484,2
485,1
486,1
487,1
489,2
493,1
494,1
495,11
496,23
497,109
498,286
499,366
500,336
501,424
502,224
503,58
504,20
505,8
506,2
507,2
509,6
510,2
514,1
515,2
517,1
519,3
521,1
523,8
527,3
528,1
530,1
534,37
535,1
537,2
539,1
541,37
542,2
546,1
552,2
557,1
559,2
560,1
562,8
563,1
565,1
566,1
570,1
571,1
573,4
574,2
578,1
589,1
593,1
602,1
604,1
609,1
614,1
616,1
618,36
620,1
628,1
630,5
634,1
638,2
645,2
652,1
659,3
660,1
662,1
669,1
670,9
676,1
680,1
688,1
694,1
699,1
709,7
712,1
713,2
714,1
715,1
717,1
718,1
719,2
722,1
725,1
733,1
734,1
737,2
739,1
740,1
746,1
758,1
760,1
762,1
769,1
792,1
819,1
828,2
830,3
841,1
859,1
870,3
871,1
872,1
885,2
892,2
907,1
919,1
920,2
924,1
932,1
933,1
936,1
942,1
944,1
955,1
963,1
970,4
972,1
988,1
990,3
992,3
1005,1
1012,1
1019,1
1020,1
1030,2
1060,1
1084,1
1090,1
1091,1
1092,13
1094,1
1097,1
1105,1
1108,1
1110,2
1119,1
1132,1
1170,2
1175,2
1182,4
1186,1
1187,31
1192,1
1196,5
1209,1
1210,3
1214,2
1218,2
1219,5
1230,2
1239,1
1242,1
1245,1
1258,2
1259,1
1260,6
1262,19
1265,1
1269,1
1270,1
1284,12
1286,5
1292,3
1325,1
1328,3
1329,2
1330,1
1334,1
1335,2
1336,19
1339,25
1345,1
1357,1
1358,26
1360,1
1369,1
1392,1
1410,2
1415,1
1482,1
1492,2
1518,1
1519,2
1520,1
1541,2
1556,32
1569,1
1570,2
1573,2
1580,1
1582,1
1592,3
1603,1
1635,1
1639,2
1670,1
1679,24
1691,1
1708,1
1718,1
1770,5
1816,2
1828,1
1870,2
2006,1
2010,1
2041,1
2092,2
2110,1
2121,1
2161,1
2190,1
2270,2
2392,1
2501,1
2503,1
2530,1
2552,1
2590,1
2592,2
2612,1
2630,1
2690,1
2768,1
2780,1
2870,1
2892,1
2970,1
2992,1
3092,2
3228,1
3392,1
3434,1
3442,1
3470,1
3568,1
3692,1
3892,1
4092,2
4210,1
4213,1
4270,2
4590,1
5120,1
5330,1
5670,1
5929,1
6092,1
6118,1
7268,1
