quantity,count
1,80
2,50
3,60
4,25
5,38
6,6
7,15
8,10
9,4
10,12
11,5
12,9
13,4
14,3
15,6
16,6
17,5
18,9
19,3
20,8
22,6
23,3
24,6
25,3
26,6
27,4
28,1
29,6
30,7
31,4
32,4
33,3
34,2
35,5
36,2
37,1
38,2
39,6
40,1
41,3
42,3
44,2
45,1
46,2
47,1
48,4
49,3
50,5
51,1
52,1
53,3
54,1
55,2
59,2
61,5
62,3
64,2
65,3
66,1
67,2
68,1
69,3
70,3
71,2
74,3
75,2
76,3
78,1
79,1
80,2
81,1
82,4
83,2
84,2
85,1
86,1
88,4
90,3
92,1
93,1
94,1
95,8
96,2
97,3
98,7
99,7
100,154
114,1
117,1
130,1
161,2
171,2
172,1
180,1
200,8
332,1
505,1
