distance_ticks,count
0,10320
1,5035
2,2065
3,1315
4,771
5,505
6,577
7,517
8,574
9,671
10,577
11,446
12,808
13,958
14,563
15,240
16,182
17,188
18,228
19,147
20,148
21,83
22,47
23,28
24,19
25,21
26,13
27,19
28,18
29,21
30,18
31,29
32,23
33,22
34,23
35,26
36,22
37,21
38,20
39,18
40,15
41,19
42,8
43,10
44,5
45,3
46,11
47,6
48,4
49,3
50,2
51,4
52,8
53,8
54,11
55,14
56,39
57,220
58,307
59,435
60,454
61,383
62,361
63,184
64,56
65,59
66,181
67,170
68,232
69,101
70,23
71,8
72,4
73,1
74,3
75,5
76,3
77,1
78,2
79,8
81,2
82,3
84,2
85,3
86,2
88,1
89,2
90,2
94,2
95,3
97,1
98,2
99,1
100,2
101,3
102,1
103,1
106,1
108,1
112,1
114,1
115,1
116,1
117,1
120,1
121,3
122,5
123,2
124,3
125,1
126,1
127,1
128,2
131,5
133,2
134,1
135,2
136,5
137,5
138,6
139,15
140,7
141,18
142,5
143,10
144,10
145,4
146,5
147,1
148,2
149,5
151,9
152,9
153,18
154,30
155,109
156,106
157,119
158,66
159,10
160,6
161,4
162,8
163,5
164,4
165,1
166,2
167,2
168,1
169,1
171,1
173,3
178,2
180,1
181,1
183,3
185,1
186,1
188,1
191,1
193,1
196,2
204,2
206,1
207,1
212,1
213,1
216,1
217,1
218,1
219,1
230,3
231,1
232,1
233,1
234,2
235,3
238,2
239,1
243,3
244,3
245,1
247,2
248,5
250,3
251,1
252,2
254,1
256,2
260,1
264,1
265,1
266,2
269,3
270,1
272,2
273,1
277,1
282,1
286,3
289,1
292,1
294,1
302,1
306,1
309,1
315,1
317,2
326,1
330,1
331,5
340,1
341,1
342,1
364,1
367,1
370,1
381,3
387,1
393,2
397,1
399,2
430,3
478,1
492,1
499,1
500,1
504,2
510,2
518,1
528,2
531,1
533,1
541,1
543,1
544,3
553,1
557,3
562,1
564,1
565,2
569,6
570,1
572,28
573,1
574,1
579,1
593,51
594,2
596,27
605,29
612,7
621,2
642,3
657,7
674,2
704,1
723,2
734,1
1874,1
1898,1
