quantity,count
1,445
2,159
3,249
4,80
5,461
6,44
7,53
8,96
9,49
10,162
11,27
12,26
13,54
14,51
15,205
16,20
17,23
18,100
19,8
20,19
21,34
22,25
23,17
24,71
25,38
26,14
27,27
28,12
29,18
30,205
31,1
32,18
34,1
35,2
36,1
37,2
38,2
39,2
40,3
41,85
42,33
43,22
44,3
45,70
46,1
47,1
48,2
49,1
50,6
52,18
53,1
54,2
55,1
56,9
60,69
61,2
62,1
63,1
65,4
66,1
67,6
68,1
70,9
71,2
72,11
74,1
75,17
76,2
77,1
80,6
81,4
84,7
85,3
87,1
88,2
90,44
91,6
92,1
93,1
94,1
95,1
97,2
98,1
99,16
100,22723
105,1
108,29
119,1
120,9
121,119
123,155
124,1
125,95
133,66
135,26
136,1
137,1
140,196
142,65
146,1
150,2
155,1
159,1
164,1
166,1
167,1
178,1
180,1
186,1
198,7
200,361
227,1
273,1
300,127
400,99
500,19
578,8
600,33
788,2
900,3
1000,10
1200,1
3300,1
