quantity,count
1,34
2,56
3,35
4,15
5,18
6,7
7,7
8,9
9,13
10,26
11,6
12,5
13,7
14,11
15,9
16,9
17,6
18,6
19,7
20,17
21,7
22,10
23,6
24,4
25,2
26,8
27,5
28,5
29,5
30,9
31,2
32,2
34,1
35,3
37,7
38,5
39,4
40,7
41,4
42,4
43,2
44,3
45,2
46,2
47,5
48,3
49,4
50,23
51,2
52,3
53,2
54,8
55,1
56,2
57,2
58,3
59,2
60,2
61,5
62,1
63,2
64,1
65,2
67,3
68,2
69,3
70,3
71,4
72,2
73,2
74,4
75,2
76,1
77,2
79,1
80,2
81,2
83,1
84,1
85,2
86,2
87,2
89,7
90,10
91,6
92,4
93,1
96,1
97,4
98,3
100,253
101,1
105,1
114,1
117,1
124,1
130,1
158,1
184,1
185,1
200,9
258,1
