distance_ticks,count
0,15354
1,10053
2,3311
3,2366
4,1788
5,1450
6,1120
7,1121
8,1209
9,1309
10,1109
11,654
12,576
13,471
14,448
15,410
16,503
17,441
18,418
19,391
20,363
21,315
22,304
23,362
24,281
25,218
26,204
27,168
28,176
29,145
30,128
31,139
32,93
33,107
34,108
35,110
36,103
37,97
38,109
39,133
40,146
41,204
42,280
43,343
44,467
45,513
46,466
47,412
48,461
49,589
50,469
51,320
52,218
53,156
54,101
55,64
56,45
57,45
58,58
59,40
60,49
61,45
62,38
63,38
64,18
65,41
66,44
67,36
68,39
69,35
70,36
71,38
72,31
73,18
74,11
75,12
76,11
77,16
78,14
79,9
80,14
81,12
82,6
83,5
84,8
85,11
86,2
87,6
88,5
89,4
90,5
91,4
92,4
93,3
94,4
95,2
96,10
97,9
98,4
99,9
100,2
101,4
102,5
103,3
104,9
105,6
106,1
107,4
108,13
109,9
110,4
111,6
112,9
113,6
114,4
115,3
116,2
117,1
118,1
119,6
121,4
122,2
123,3
124,5
125,2
126,3
127,2
128,2
130,5
133,1
134,4
135,1
136,2
137,2
139,2
140,3
141,3
142,8
143,3
144,4
145,3
147,2
148,1
149,2
150,4
151,3
152,4
153,1
154,1
156,2
157,1
158,1
159,1
160,2
161,1
162,1
163,2
165,1
168,2
170,1
171,1
173,3
174,1
175,2
177,3
178,3
179,1
180,2
182,2
183,1
184,3
185,1
186,4
187,2
188,5
189,5
190,4
191,8
192,12
193,9
194,12
195,8
196,7
197,10
198,17
199,8
200,9
201,15
202,23
203,32
204,28
205,40
206,54
207,60
208,72
209,89
210,113
211,186
212,224
213,282
214,296
215,272
216,244
217,177
218,123
219,65
220,86
221,120
222,174
223,263
224,457
225,731
226,830
227,784
228,427
229,212
230,174
231,242
232,319
233,409
234,315
235,269
236,218
237,95
238,36
239,14
240,14
241,5
242,5
243,4
244,4
246,1
247,3
248,1
249,7
250,1
251,3
252,2
255,1
256,2
259,1
261,1
264,1
278,1
279,1
281,1
282,1
284,1
287,2
289,1
290,1
292,1
293,1
295,1
296,1
298,2
299,1
300,1
301,1
303,1
304,1
306,1
309,1
312,2
314,1
316,1
318,1
320,1
321,1
323,2
325,1
327,1
328,1
329,1
330,2
331,2
332,1
333,2
334,1
335,2
336,3
337,2
338,4
339,3
340,2
341,3
342,3
343,1
344,2
345,3
346,1
347,1
348,3
349,1
350,2
351,1
352,1
354,1
355,1
357,1
358,2
359,1
361,2
363,3
366,1
367,1
368,2
370,1
371,1
373,1
375,1
377,1
378,1
379,1
380,1
381,1
382,1
383,3
384,1
385,1
387,1
388,1
389,3
391,1
392,1
393,1
394,1
396,1
398,2
399,2
400,3
401,1
403,2
404,1
405,1
406,1
408,2
409,1
411,1
412,1
413,3
414,4
416,2
417,1
418,1
419,1
420,1
421,2
422,2
423,2
424,2
425,5
426,1
427,1
428,2
429,2
430,2
431,2
432,1
433,1
434,1
436,3
438,1
439,1
440,1
443,3
446,1
447,1
448,1
450,1
452,1
454,2
455,1
456,1
457,2
458,2
459,2
460,1
461,1
463,1
464,1
465,1
466,2
467,1
468,1
469,1
470,2
471,2
473,1
474,1
476,1
478,2
481,1
482,1
483,1
484,1
486,1
487,1
489,2
491,1
492,1
494,1
495,1
497,1
498,1
500,1
501,2
503,1
504,1
506,2
507,2
510,1
512,1
513,1
514,1
515,2
516,1
518,2
519,1
520,1
521,1
523,1
525,2
526,3
527,1
530,1
531,1
532,2
534,1
535,2
536,4
539,1
540,1
541,1
542,1
544,1
545,1
546,4
548,3
549,1
550,1
551,2
552,4
553,2
554,6
555,9
556,18
557,52
558,74
559,80
560,117
561,222
562,261
563,219
564,153
565,77
566,35
567,19
568,4
570,5
571,1
572,3
573,1
575,2
576,2
577,3
579,1
582,2
587,1
594,1
596,1
600,3
601,1
602,2
604,1
620,4
625,1
626,1
627,5
629,1
647,1
660,2
661,1
668,1
671,1
679,1
685,1
695,1
702,1
704,1
708,3
709,1
717,1
720,1
723,1
730,2
731,1
744,3
749,2
753,1
754,1
755,1
766,1
768,1
769,2
774,3
779,1
790,1
805,2
809,1
812,1
841,1
849,1
854,1
862,3
866,1
867,1
877,2
882,3
903,1
910,1
934,1
939,3
949,3
953,3
955,1
958,3
968,1
975,1
980,1
985,1
987,1
1003,1
1020,1
1021,3
1024,1
1034,1
1043,1
1044,1
1066,1
1070,1
1095,3
1126,1
1133,3
1134,1
1152,1
1166,3
1170,1
1174,1
1176,2
1177,1
1243,1
1270,1
1307,1
1310,2
1325,3
1376,2
1381,1
1492,1
1494,1
1495,1
1497,3
1501,1
1504,4
1505,4
1508,2
1510,3
1514,1
1644,1
1784,1
1789,1
1824,1
1865,1
1871,1
1872,1
1887,2
1918,1
1920,2
1926,2
1928,1
1977,1
1998,1
2011,1
2021,1
2028,2
2029,1
2071,2
2100,1
2101,1
2118,1
2119,1
2128,1
2146,1
2161,3
2174,1
2182,8
2220,23
2227,7
2243,8
2244,1
2248,3
2295,7
2302,30
2303,5
2311,1
2317,1
2375,1
2394,7
2465,1
2511,1
2563,1
2712,8
2873,1
6999,1
7003,1
7386,1
