distance_ticks,count
0,33610
1,3112
2,656
3,281
4,258
5,182
6,144
7,363
8,75
9,84
10,68
11,403
12,69
13,205
14,327
15,129
16,745
17,666
18,532
19,5054
20,8300
21,8816
22,7085
23,1385
24,28
25,16
26,17
27,18
28,23
29,10
30,24
31,43
32,38
33,25
34,7
35,20
36,21
37,15
38,29
39,38
40,13
41,54
42,10
43,5
44,11
45,12
46,38
47,22
48,27
49,12
50,9
51,59
52,24
53,9
54,12
55,17
56,20
57,22
58,26
59,63
60,29
61,13
62,9
63,29
65,20
66,8
67,7
68,14
69,11
70,9
71,11
72,4
73,6
74,7
76,4
77,2
78,2
79,2
80,1
81,1
82,1
83,3
84,2
85,1
86,22
87,2
88,3
89,4
90,7
91,1
92,2
93,2
94,3
95,4
96,1
98,1
99,1
100,1
101,2
104,1
105,6
106,1
108,4
109,3
110,9
111,2
112,2
113,1
115,6
119,3
120,4
121,19
122,28
123,33
124,8
125,3
126,10
127,1
128,5
131,3
134,2
135,2
138,1
140,4
141,25
142,1
143,24
144,1
145,5
146,3
147,21
148,1
150,4
154,7
155,1
156,1
157,17
159,1
160,7
164,3
165,3
166,1
168,4
169,4
170,1
171,3
172,3
173,1
174,1
175,25
182,2
183,1
184,26
185,23
186,25
187,49
188,5
189,25
190,61
191,28
195,3
198,1
204,24
207,24
210,1
213,25
215,2
216,1
218,25
220,2
231,1
233,2
241,1
246,3
250,1
261,1
265,1
280,2
286,1
292,1
305,1
309,1
315,1
316,1
326,1
336,1
384,1
396,1
436,1
441,1
460,1
515,1
516,1
555,1
559,1
566,1
615,3
715,1
784,2
941,1
946,1
