quantity,count
1,1023
2,277
3,225
4,61
5,1070
6,35
7,92
8,40
9,73
10,579
11,75
12,117
13,67
14,60
15,432
16,79
17,228
18,75
19,42
20,120
21,62
22,54
23,59
24,127
25,49
26,52
27,59
28,63
29,57
30,897
31,33
32,26
33,40
34,18
35,13
36,26
37,17
38,88
39,87
40,162
41,4
42,13
43,12
44,11
45,47
46,11
47,15
48,25
49,27
50,55
51,20
52,21
53,11
54,8
55,8
56,3
57,10
58,9
59,3
60,14
61,18
62,24
63,3
64,6
65,5
66,124
67,37
68,8
69,8
70,35
71,36
72,12
73,4
74,10
75,16
76,7
77,56
78,3
79,6
80,10
81,5
82,12
83,17
84,14
85,14
86,10
87,10
88,34
89,21
90,34
91,4
92,10
93,11
94,5
95,20
96,10
97,21
98,14
99,99
100,37423
101,2
102,2
103,4
104,2
106,1
109,3
110,3
112,1
114,9
115,1
118,2
119,2
120,36
125,2
126,2
128,1
132,1
133,2
135,1
140,6
142,2
144,2
150,60
152,1
153,2
154,2
159,3
162,1
164,4
166,1
173,1
175,191
181,24
184,84
188,227
190,1
191,2
193,3
194,1
195,117
196,1
197,68
198,2
199,52
200,929
203,2
208,12
224,4
240,1
248,1
252,2
271,4
290,1
297,1
298,1
300,661
337,1
372,4
397,4
400,32
500,30
532,7
600,16
700,29
1000,36
7200,1
14600,1
34200,1
