distance_ticks,count
0,6772
1,511
2,220
3,191
4,164
5,159
6,148
7,127
8,154
9,239
10,169
11,136
12,147
13,145
14,259
15,109
16,246
17,150
18,214
19,220
20,147
21,108
22,80
23,70
24,78
25,91
26,63
27,64
28,48
29,51
30,41
31,29
32,41
33,28
34,41
35,19
36,21
37,41
38,36
39,46
40,29
41,36
42,36
43,25
44,27
45,10
46,15
47,11
48,11
49,12
50,22
51,12
52,13
53,9
54,14
55,19
56,21
57,26
58,13
59,23
60,37
61,97
62,189
63,269
64,120
65,64
66,84
67,125
68,64
69,21
70,21
71,48
72,54
73,38
74,71
75,69
76,15
77,11
78,14
79,19
80,18
81,19
82,15
83,21
84,13
85,28
86,42
87,132
88,103
89,27
90,11
91,14
92,21
93,16
94,12
95,12
96,11
97,7
98,10
99,5
100,5
101,7
102,6
103,5
104,7
105,4
106,6
107,6
108,3
109,5
110,9
111,1
112,5
113,3
114,2
115,4
116,3
118,2
119,1
120,3
121,1
122,2
123,5
124,4
125,2
126,1
127,8
128,8
129,3
130,5
131,1
132,2
133,1
134,1
135,1
136,2
138,2
139,3
140,8
141,1
142,5
143,5
144,3
145,9
146,5
147,2
148,1
149,4
150,4
151,2
152,1
153,2
154,2
155,4
156,3
157,5
158,5
159,5
160,1
162,5
163,5
164,5
165,7
166,8
168,8
169,11
170,10
172,5
173,2
175,8
176,3
177,8
178,11
179,12
180,5
181,8
182,6
183,10
184,5
185,4
186,12
187,6
188,15
189,23
190,18
191,18
192,16
193,26
194,21
195,18
196,23
197,23
198,11
199,17
200,19
201,18
202,25
203,47
204,109
205,163
206,235
207,242
208,131
209,75
210,70
211,48
212,36
213,65
214,19
215,9
216,3
217,2
218,6
219,6
220,2
221,5
223,6
224,6
225,3
226,2
227,2
228,3
230,6
231,1
232,1
233,1
234,2
235,3
236,4
237,1
238,1
240,4
242,2
244,1
245,2
246,3
247,1
249,1
250,1
251,2
255,1
256,1
258,2
260,3
261,1
263,1
268,3
269,4
270,1
272,1
273,5
275,3
276,1
277,2
278,1
280,1
281,1
282,2
283,1
284,1
285,1
287,1
288,1
294,1
295,1
296,1
301,1
303,1
305,1
306,4
309,2
310,1
311,1
312,1
317,2
318,1
320,1
323,1
324,1
330,3
332,3
339,2
356,1
357,1
358,1
363,2
366,1
368,1
369,1
374,1
375,2
380,1
388,1
390,2
397,1
407,1
425,1
430,3
439,2
440,1
445,1
457,1
458,1
475,1
480,2
482,3
496,1
504,1
507,1
508,1
510,1
511,3
529,1
530,3
531,3
532,1
533,1
544,18
546,3
567,18
572,1
575,19
580,1
581,1
584,3
595,18
597,15
600,1
608,2
609,1
612,17
625,1
629,1
654,17
658,11
668,6
679,1
680,9
683,3
684,3
691,1
707,3
714,3
729,19
736,1
737,1
747,1
750,2
762,18
763,1
783,21
790,1
792,19
797,1
802,18
813,2
835,15
837,3
875,3
964,1
965,1
1040,1
1087,1
19997874,1
