quantity,count
1,593
2,56
3,47
4,31
5,409
6,11
7,31
8,20
9,6
10,167
11,47
12,7
13,37
14,62
15,14
16,12
17,21
18,12
19,26
20,88
21,31
22,32
23,22
24,5
25,14
26,1
27,4
28,2
29,4
30,90
31,9
32,6
33,2
34,2
35,19
36,6
37,2
38,3
39,7
40,6
41,1
42,4
43,1
44,12
45,4
46,3
47,5
48,1
49,2
50,192
51,6
52,7
53,4
54,3
56,6
58,1
59,6
60,1
61,3
62,5
69,3
70,5
71,12
72,14
73,10
75,6
78,16
80,8
83,1
85,7
87,3
88,1
90,8
91,7
93,4
94,2
97,5
98,9
99,7
100,12118
103,1
110,1
119,6
120,1
121,1
125,1
130,1
135,3
136,1
150,5
156,6
165,1
173,1
174,2
175,2
180,2
190,1
191,1
200,1153
207,1
216,1
222,1
237,1
250,2
252,1
275,1
290,1
300,225
314,1
317,1
320,1
347,6
365,1
369,1
390,1
400,158
412,2
475,2
500,129
550,1
562,1
576,1
600,13
610,1
634,1
700,72
706,1
734,1
800,65
829,1
900,1
999,1
1000,8
1100,1
1500,1
1665,1
1667,2
1800,1
1822,1
1859,1
1946,2
2000,2
2400,3
2500,1
2600,5
3000,7
3333,1
5882,2
