distance_ticks,count
0,25079
1,14087
2,6238
3,4673
4,3489
5,2504
6,1842
7,1747
8,1117
9,1002
10,755
11,593
12,583
13,481
14,469
15,476
16,510
17,506
18,481
19,460
20,434
21,407
22,351
23,316
24,364
25,281
26,300
27,294
28,275
29,341
30,349
31,295
32,315
33,262
34,246
35,208
36,204
37,229
38,188
39,196
40,210
41,178
42,177
43,157
44,145
45,124
46,102
47,92
48,119
49,89
50,73
51,58
52,54
53,48
54,47
55,43
56,46
57,55
58,31
59,34
60,33
61,27
62,28
63,38
64,28
65,32
66,25
67,24
68,35
69,26
70,28
71,23
72,24
73,21
74,20
75,16
76,11
77,12
78,12
79,18
80,15
81,18
82,21
83,20
84,19
85,11
86,10
87,16
88,14
89,16
90,10
91,8
92,6
93,6
94,4
95,10
96,4
97,8
98,8
99,6
100,7
101,7
102,4
103,7
104,7
105,6
106,5
107,9
108,4
109,1
110,12
111,8
112,7
113,8
114,6
115,6
116,5
117,7
118,10
119,6
120,6
121,6
122,7
123,3
124,3
125,6
126,8
127,7
128,6
129,9
130,6
131,6
132,2
133,12
134,8
135,5
136,6
137,7
138,6
139,9
140,10
141,4
142,7
143,5
144,6
145,4
146,9
147,6
148,5
149,2
150,4
151,1
152,5
153,4
154,1
155,4
156,4
157,2
158,4
159,9
160,2
161,5
162,3
163,1
164,7
165,4
166,7
167,8
168,5
169,3
170,4
171,6
172,6
173,3
174,2
175,7
176,4
177,2
178,3
180,6
182,3
183,6
184,4
185,4
186,7
187,8
188,7
189,8
190,8
191,6
192,9
193,4
194,2
195,5
196,4
197,5
198,4
199,4
200,3
201,5
202,6
203,2
204,6
205,13
206,2
207,7
208,3
209,9
211,5
212,4
213,6
214,4
215,6
216,3
217,1
218,5
219,7
220,6
221,9
222,4
223,7
224,8
225,15
226,17
227,20
228,45
229,50
230,57
231,85
232,118
233,180
234,264
235,332
236,478
237,675
238,801
239,783
240,670
241,462
242,241
243,112
244,88
245,124
246,138
247,173
248,271
249,490
250,746
251,922
252,929
253,772
254,650
