distance_ticks,count
0,33583
1,3140
2,1965
3,1595
4,1462
5,1304
6,1158
7,1059
8,901
9,772
10,912
11,673
12,568
13,845
14,723
15,682
16,506
17,482
18,385
19,327
20,318
21,291
22,312
23,285
24,295
25,277
26,256
27,225
28,368
29,412
30,295
31,224
32,237
33,281
34,337
35,312
36,269
37,259
38,251
39,217
40,253
41,192
42,169
43,197
44,169
45,108
46,92
47,74
48,92
49,129
50,106
51,87
52,106
53,147
54,144
55,77
56,73
57,87
58,188
59,248
60,131
61,84
62,91
63,102
64,51
65,38
66,33
67,40
68,53
69,59
70,64
71,72
72,50
73,21
74,27
75,17
76,19
77,11
78,16
79,7
80,10
81,12
82,13
83,11
84,16
85,9
86,6
87,11
88,13
89,9
90,14
91,8
92,14
93,23
94,21
95,58
96,10
97,10
98,8
99,5
100,10
101,11
102,4
103,4
104,3
105,3
106,5
107,5
108,3
109,1
110,8
111,2
112,6
113,7
114,9
115,5
116,4
117,2
118,4
119,4
120,2
121,1
122,3
123,2
124,10
125,6
126,7
127,5
128,2
130,4
131,7
132,3
133,7
134,10
135,9
136,8
137,7
138,9
139,9
140,8
141,5
142,6
143,7
144,9
145,14
146,13
147,17
148,17
149,18
150,19
151,20
152,19
153,36
154,34
155,38
156,52
157,82
158,101
159,232
160,494
161,429
162,396
163,325
164,164
165,71
166,47
167,37
168,39
169,27
170,21
171,21
172,19
173,20
174,18
175,14
176,13
177,12
178,20
179,29
180,15
181,31
182,27
183,56
184,66
185,118
186,121
187,110
188,235
189,135
190,111
191,36
192,16
193,11
194,8
195,5
196,4
197,4
198,3
199,1
200,11
201,2
202,5
203,1
204,1
205,3
206,4
207,2
208,5
210,2
211,2
212,5
213,3
214,5
215,4
216,7
217,2
218,2
219,1
220,2
221,3
222,3
224,2
225,1
229,3
230,3
231,3
232,2
234,2
235,2
236,6
237,1
238,4
239,6
240,2
241,4
242,2
243,9
244,3
245,5
246,5
247,5
248,5
249,14
250,14
251,4
252,5
253,11
254,13
255,11
256,36
257,22
258,34
259,39
260,38
261,69
262,72
263,80
264,91
265,122
266,202
267,297
268,360
269,315
270,288
271,386
272,562
273,719
274,641
275,408
276,363
277,464
278,319
279,177
280,59
281,52
282,19
283,15
284,12
285,6
286,8
287,6
288,6
289,3
290,9
291,4
292,3
293,4
294,2
295,3
296,3
297,3
299,5
300,13
302,1
303,3
304,1
305,2
306,6
307,2
308,1
309,1
310,1
311,1
312,3
314,1
317,2
318,2
320,1
321,2
323,2
324,1
325,2
326,1
329,6
330,2
332,7
333,1
334,1
335,2
338,1
340,1
342,1
343,1
345,1
347,3
348,2
350,3
351,1
352,1
353,1
356,1
357,2
358,1
359,1
360,1
363,3
364,8
365,1
367,4
368,2
369,2
370,3
371,3
372,3
373,4
377,4
378,1
379,1
381,5
382,1
383,2
385,2
387,2
388,1
389,5
390,4
391,2
393,2
394,6
395,4
396,4
397,1
398,1
399,7
400,14
401,6
402,6
403,7
404,6
405,3
406,9
407,8
408,7
409,4
410,2
411,6
412,10
413,9
414,7
415,4
416,8
417,10
418,9
419,8
420,5
421,11
422,12
423,13
424,19
425,20
426,14
427,21
428,18
429,15
430,15
431,18
432,12
433,23
434,23
435,32
436,24
437,36
438,36
439,60
440,76
441,75
442,97
443,117
444,159
445,174
446,217
447,260
448,377
449,286
450,378
451,217
452,91
453,60
454,52
455,49
456,35
457,26
458,27
459,25
460,17
461,27
462,24
463,14
464,9
465,17
466,9
467,5
468,7
469,5
470,10
471,7
472,3
473,4
474,9
475,6
476,5
477,4
478,2
479,7
480,2
481,5
482,1
483,1
484,1
485,4
486,4
487,4
488,1
489,2
490,1
491,4
492,2
493,2
494,1
496,2
497,2
498,2
499,2
500,9
501,5
502,4
503,12
504,46
505,60
506,84
507,143
508,183
509,226
510,237
511,206
512,264
513,261
514,167
515,104
516,51
517,26
518,14
519,7
520,6
521,3
522,1
523,1
524,1
529,1
530,1
531,1
532,5
533,1
536,2
537,1
538,2
539,1
540,3
541,1
542,1
544,1
545,1
546,1
549,1
550,1
556,2
562,1
567,1
571,1
577,1
580,3
581,3
582,1
584,1
585,1
589,1
590,3
593,1
595,3
599,1
600,3
601,1
609,2
612,2
614,1
620,1
621,2
622,1
624,3
626,1
627,1
628,1
629,3
634,2
642,1
643,3
646,1
649,2
650,5
656,1
659,2
660,3
665,1
672,2
678,1
682,1
699,1
700,7
703,2
715,1
718,1
721,1
731,1
738,1
739,1
745,1
747,2
748,1
750,6
762,1
763,1
772,1
773,1
780,2
782,1
785,1
787,1
791,2
792,1
793,2
799,1
800,3
802,1
810,1
829,8
831,1
832,2
835,1
842,1
843,1
847,1
848,1
849,1
850,2
856,1
862,1
863,2
873,1
876,1
880,3
882,1
884,1
887,1
888,2
898,1
899,1
901,6
906,1
907,2
913,1
917,1
918,1
924,1
928,1
929,1
932,3
934,1
945,1
950,2
963,1
967,1
973,1
995,1
1000,3
1007,1
1023,1
1026,1
1032,2
1033,4
1039,2
1044,2
1047,1
1050,3
1051,1
1063,1
1065,1
1075,1
1079,2
1080,3
1081,5
1082,2
1090,1
1099,1
1100,1
1106,1
1120,1
1122,1
1123,2
1127,1
1132,2
1133,1
1157,1
1160,1
1162,1
1165,1
1171,1
1177,1
1178,1
1186,1
1188,1
1192,1
1199,1
1200,5
1205,1
1207,1
1208,1
1232,4
1242,1
1250,4
1263,1
1280,1
1301,1
1309,1
1311,1
1323,2
1332,9
1341,1
1355,3
1356,1
1357,1
1367,1
1372,3
1401,2
1409,1
1413,1
1414,1
1432,1
1434,1
1468,1
1470,1
1475,3
1481,1
1488,2
1491,17
1496,1
1500,1
1501,1
1508,2
1509,10
1520,1
1523,1
1524,1
1530,11
1531,2
1532,1
1533,1
1535,1
1543,1
1544,2
1550,1
1555,1
1562,1
1566,12
1578,1
1579,1
1582,1
1595,1
1600,1
1610,1
1625,1
1650,1
1652,8
1666,20
1685,6
1691,1
1695,1
1697,2
1700,1
1701,21
1707,1
1708,2
1723,7
1725,17
1727,1
1737,20
1745,1
1748,3
1750,6
1758,2
1763,6
1770,1
1774,1
1817,1
1823,4
1832,2
1848,1
1849,1
1850,1
1852,1
1873,7
1893,2
1901,1
1904,1
1912,1
1913,11
1914,1
1917,1
1922,1
1930,1
1950,2
1970,2
1994,1
2032,1
2035,1
2073,1
2080,1
2123,1
2150,1
2224,1
2250,2
2253,1
2266,1
2273,1
2300,1
2323,1
2332,2
2343,1
2373,1
2393,1
2397,2
2400,2
2423,1
2432,1
2450,1
2462,1
2483,1
2523,2
2530,1
2532,1
2544,1
2550,1
2568,2
2579,1
2597,22
2601,4
2637,1
2648,1
2650,1
2683,1
2698,1
2700,1
2750,2
2768,1
2793,1
2803,1
2823,4
2880,1
2887,1
2899,1
2901,1
2923,2
2932,1
2935,1
2951,1
2961,1
3000,1
3001,1
3015,1
3050,2
3118,1
3130,1
3218,1
3250,2
3278,1
3308,1
3323,1
3327,1
3332,1
3342,1
3350,1
3401,2
3450,1
3462,1
3523,1
3532,1
3550,1
3555,1
3570,1
3593,1
3650,3
3678,1
3687,3
3690,1
3700,3
3715,1
3717,1
3750,7
3768,1
3810,1
3823,2
3932,1
3983,1
4045,1
4070,1
4101,1
4130,25
4150,1
4187,1
4200,1
4215,1
4250,3
4300,1
4332,1
4338,1
4347,3
4410,1
4420,1
4427,1
4500,1
4545,1
4600,1
4649,1
4650,2
4737,1
4750,6
4760,1
4823,1
4832,1
4850,1
5023,1
5232,1
5310,1
5314,1
5319,1
5324,4
5325,1
5331,1
5341,1
