quantity,count
1,226
2,110
3,74
4,82
5,162
6,90
7,59
8,36
9,43
10,167
11,35
12,45
13,36
14,31
15,50
16,26
17,12
18,32
19,30
20,99
21,34
22,26
23,19
24,23
25,25
26,27
27,19
28,17
29,32
30,45
31,22
32,11
33,11
34,13
35,13
36,10
37,38
38,14
39,14
40,55
41,20
42,17
43,9
44,11
45,12
46,11
47,12
48,15
49,17
50,31
51,11
52,8
53,7
54,5
55,13
56,9
57,8
58,8
59,13
60,29
61,9
62,9
63,15
64,7
65,5
66,14
67,9
68,9
69,6
70,11
71,13
72,11
73,11
74,18
75,7
76,8
77,5
78,11
79,6
80,16
81,5
82,8
83,8
84,8
85,8
86,7
87,11
88,11
89,10
90,18
91,6
92,4
93,9
94,11
95,17
96,15
97,8
98,21
99,28
100,891
101,2
103,3
107,1
109,1
110,2
111,1
112,1
113,1
114,2
116,1
119,2
127,1
129,1
130,1
135,1
138,1
140,2
147,1
148,2
150,1
153,1
155,1
165,1
169,1
175,1
178,1
192,1
200,13
206,1
249,1
250,1
252,1
264,1
293,1
295,1
300,5
363,1
393,1
400,1
487,1
500,2
600,1
634,1
700,1
800,1
845,1
895,1
