distance_ticks,count
0,7542
1,3659
2,1488
3,852
4,780
5,681
6,438
7,343
8,542
9,485
10,343
11,298
12,276
13,249
14,225
15,191
16,134
17,150
18,107
19,68
20,65
21,58
22,44
23,31
24,43
25,46
26,18
27,16
28,21
29,27
30,12
31,15
32,13
33,20
34,20
35,52
36,164
37,269
38,227
39,140
40,115
41,179
42,305
43,308
44,281
45,149
46,111
47,111
48,70
49,21
50,7
51,4
52,2
53,5
54,3
55,3
56,3
57,7
58,4
59,3
60,2
61,4
62,4
63,3
64,3
65,6
66,3
67,1
68,2
69,5
70,4
71,1
72,2
73,4
74,6
76,1
77,3
78,2
80,1
81,1
82,1
83,5
84,5
85,1
86,5
87,4
88,5
89,1
90,1
91,4
92,2
93,1
96,1
97,2
98,1
99,4
100,2
101,2
102,3
103,1
104,1
107,3
108,1
112,5
113,6
114,6
115,1
116,4
117,1
119,1
120,2
123,3
124,1
125,1
126,3
129,2
130,1
132,1
134,7
135,9
136,10
137,13
138,19
139,54
140,80
141,75
142,87
143,43
144,9
145,2
146,1
147,5
151,4
152,1
154,1
155,1
156,1
157,1
162,1
173,4
174,1
175,1
177,1
179,1
180,1
181,3
182,4
183,8
184,11
185,10
186,15
187,19
188,17
189,13
190,13
191,5
192,4
193,6
194,3
197,1
202,1
204,2
208,1
209,1
210,1
211,1
215,1
218,2
231,2
235,1
251,2
252,1
262,1
274,2
282,1
283,1
297,2
308,2
316,1
328,2
330,3
335,1
336,1
342,1
352,1
358,1
360,20
362,9
366,20
378,3
386,3
397,1
399,1
407,28
414,3
418,29
427,29
435,6
444,3
447,2
450,7
461,8
480,1
490,1
491,1
527,3
549,28
550,1
554,1
573,2
745,1
9998606,1
9998747,1
