quantity,count
1,1641
2,643
3,418
4,269
5,491
6,227
7,244
8,173
9,194
10,459
11,174
12,179
13,152
14,216
15,619
16,124
17,127
18,146
19,111
20,444
21,118
22,146
23,135
24,126
25,251
26,150
27,164
28,132
29,102
30,187
31,112
32,115
33,98
34,113
35,136
36,114
37,112
38,118
39,101
40,177
41,82
42,146
43,93
44,91
45,118
46,78
47,90
48,118
49,106
50,408
51,100
52,118
53,86
54,105
55,102
56,85
57,84
58,132
59,103
60,129
61,89
62,99
63,78
64,83
65,105
66,92
67,105
68,93
69,105
70,127
71,97
72,90
73,95
74,137
75,144
76,111
77,78
78,92
79,63
80,152
81,78
82,90
83,75
84,68
85,133
86,142
87,93
88,90
89,72
90,155
91,77
92,74
93,83
94,82
95,110
96,88
97,82
98,140
99,191
100,27706
101,26
102,22
103,22
104,18
105,28
106,19
107,23
108,19
109,13
110,37
111,19
112,23
113,20
114,25
115,28
116,14
117,18
118,17
119,17
120,26
121,19
122,20
123,45
124,24
125,28
126,17
127,17
128,22
129,26
130,27
131,20
132,17
133,16
134,22
135,18
136,17
137,25
138,39
139,19
140,20
141,13
142,16
143,25
144,18
145,18
146,10
147,15
148,22
149,15
150,73
151,7
152,18
153,17
154,14
155,16
156,18
157,13
158,12
159,14
160,28
161,14
162,13
163,14
164,12
165,15
166,13
167,59
168,19
169,12
170,29
171,9
172,23
173,16
174,12
175,25
176,37
177,23
178,20
179,9
180,23
181,12
182,20
183,9
184,14
185,22
186,18
187,11
188,17
189,21
190,27
191,13
192,12
193,25
194,21
195,17
196,8
197,21
198,26
199,33
200,5190
201,8
202,10
203,6
204,10
205,6
206,6
207,5
208,3
209,8
210,11
211,14
212,6
213,4
214,7
215,9
216,4
217,4
218,7
219,2
220,9
221,2
222,4
223,8
224,6
225,3
226,7
227,8
228,9
229,5
230,7
231,7
232,9
233,7
234,3
235,4
236,5
237,2
238,3
239,9
240,12
241,11
242,10
243,3
244,4
245,6
246,9
247,1
248,6
249,8
250,39
251,12
252,5
253,10
254,11
255,10
256,10
257,9
258,10
259,1
260,6
261,5
262,6
263,8
264,6
265,3
266,9
267,6
268,8
269,7
270,17
271,6
272,10
273,8
274,5
275,9
276,4
277,9
278,2
279,9
280,17
281,2
282,3
283,4
284,4
285,10
286,11
287,9
288,2
289,10
290,7
291,8
292,6
293,5
294,3
295,9
296,8
297,6
298,13
299,13
300,1674
301,10
302,7
303,6
304,2
305,5
306,4
307,4
308,6
309,1
310,4
311,5
312,2
313,4
314,6
315,8
316,6
317,13
318,5
319,6
320,24
321,1
322,1
323,4
324,13
325,7
327,7
328,7
