quantity,count
1,2344
2,649
3,357
4,278
5,382
6,197
7,188
8,173
9,203
10,566
11,178
12,177
13,155
14,149
15,289
16,265
17,129
18,126
19,136
20,446
21,115
22,139
23,126
24,120
25,190
26,110
27,114
28,108
29,98
30,261
31,114
32,97
33,99
34,102
35,130
36,105
37,126
38,115
39,132
40,138
41,95
42,115
43,102
44,114
45,94
46,82
47,77
48,111
49,77
50,390
51,93
52,104
53,92
54,82
55,100
56,91
57,102
58,98
59,93
60,140
61,94
62,106
63,92
64,94
65,90
66,91
67,81
68,60
69,84
70,156
71,76
72,84
73,61
74,87
75,122
76,88
77,76
78,98
79,56
80,166
81,85
82,90
83,78
84,83
85,104
86,79
87,69
88,81
89,80
90,201
91,79
92,89
93,86
94,87
95,122
96,101
97,95
98,147
99,247
100,28309
101,28
102,31
103,20
104,22
105,30
106,19
107,16
108,22
109,26
110,38
111,13
112,21
113,20
114,19
115,25
116,12
117,18
118,18
119,18
120,45
121,14
122,32
123,92
124,11
125,38
126,10
127,11
128,19
129,20
130,31
131,12
132,12
133,22
134,15
135,24
136,20
137,12
138,17
139,15
140,21
141,6
142,14
143,12
144,18
145,16
146,10
147,15
148,17
149,21
150,61
151,14
152,22
153,12
154,15
155,12
156,13
157,12
158,14
159,13
160,25
161,8
162,15
163,13
164,16
165,26
166,20
167,31
168,16
169,12
170,28
171,15
172,17
173,14
174,14
175,16
176,16
177,22
178,23
179,10
180,11
181,15
182,17
183,14
184,14
185,25
186,12
187,11
188,14
189,15
190,17
191,10
192,12
193,5
194,25
195,25
196,19
197,20
198,25
199,33
200,5285
201,13
202,6
203,12
204,11
205,10
206,7
207,1
208,8
209,8
210,16
211,11
212,8
213,9
214,4
215,8
216,7
217,4
218,4
219,9
220,11
221,9
222,8
223,5
224,3
225,10
226,7
227,10
228,9
229,10
230,8
231,7
232,6
233,3
234,10
235,4
236,10
237,6
238,3
239,5
240,14
241,11
242,12
243,2
244,9
245,13
246,9
247,3
248,7
249,11
250,31
251,7
252,8
253,7
254,5
255,3
256,5
257,8
258,14
259,5
260,9
261,7
262,8
263,3
264,6
265,6
266,11
267,9
268,5
269,8
270,11
271,11
272,5
273,4
274,5
275,14
276,2
277,4
278,11
279,10
280,12
281,13
282,6
283,4
284,5
285,10
286,5
287,4
288,12
289,5
290,13
291,4
292,7
293,5
294,7
295,12
296,7
297,8
298,6
299,12
300,1812
301,4
302,5
303,4
304,8
305,4
306,8
307,4
308,2
309,2
310,20
311,2
312,9
313,7
314,1
315,5
316,1
317,4
318,3
319,4
320,30
321,4
322,3
323,4
324,5
325,4
326,4
327,3
328,3
329,2
330,20
331,6
332,4
333,5
334,3
335,3
336,6
337,2
338,6
339,6
340,12
341,5
342,4
343,5
344,2
345,2
346,4
347,4
348,2
349,2
350,20
351,3
352,7
353,3
354,4
355,4
356,7
357,2
358,4
359,6
360,11
361,3
362,1
363,7
364,2
365,3
366,7
367,3
368,4
369,10
370,48
371,1
372,3
373,5
374,2
375,34
376,6
378,2
379,5
380,18
381,4
382,8
384,4
385,10
387,7
388,3
389,3
390,41
391,5
392,3
393,4
394,7
395,4
396,5
397,2
398,7
399,8
400,1193
401,5
402,4
403,2
404,2
405,4
406,2
407,3
408,4
409,4
410,29
411,2
412,1
413,4
414,1
415,2
416,1
417,1
418,3
419,7
420,16
422,2
423,4
424,3
425,6
427,3
428,7
429,2
430,19
431,3
434,3
435,4
436,1
437,2
438,2
439,1
440,14
441,6
442,3
443,1
444,2
445,4
446,2
447,7
448,4
449,3
450,14
451,2
452,2
453,2
454,2
455,7
457,4
458,3
459,2
460,14
461,2
462,1
463,2
464,2
465,5
466,2
467,2
468,2
469,4
470,10
471,6
472,5
473,3
474,2
475,6
476,4
477,1
478,3
479,6
480,26
481,4
483,1
484,2
485,6
486,1
487,4
488,4
489,2
490,22
491,2
492,2
493,5
494,3
495,3
496,7
497,3
498,7
499,8
500,793
501,1
502,1
504,3
505,1
507,1
508,2
509,3
510,2
512,1
513,4
514,1
515,1
516,2
518,2
519,2
520,3
521,3
522,2
523,1
524,3
525,1
527,1
528,1
529,2
530,3
531,1
532,1
535,1
537,1
539,3
540,1
543,2
545,1
546,2
549,1
550,5
551,1
553,2
554,2
555,5
556,1
557,1
559,1
560,3
561,1
562,1
563,1
564,2
566,1
567,1
570,1
572,1
573,1
576,1
577,2
578,2
579,1
580,4
584,1
585,1
589,1
590,1
591,1
592,3
596,2
597,2
598,2
599,3
600,374
601,3
602,1
603,1
606,2
607,1
609,1
610,2
611,3
613,2
617,2
618,1
619,1
620,2
621,1
624,2
627,1
630,3
631,2
636,1
637,1
640,2
642,1
643,2
646,1
648,1
649,1
650,2
651,1
652,1
653,1
655,1
657,1
658,2
659,1
660,5
661,1
662,2
663,1
665,1
668,1
669,1
671,1
672,2
673,2
675,3
676,2
677,1
679,2
680,1
681,1
682,1
683,1
687,1
688,1
689,2
690,6
691,1
692,1
693,1
694,1
695,1
696,3
697,3
698,1
700,231
701,1
702,1
706,3
707,1
708,2
709,1
710,2
713,2
714,1
715,1
716,1
717,1
720,1
724,1
725,2
726,1
730,2
732,1
735,1
738,1
744,2
746,1
747,1
748,4
749,1
750,6
751,2
753,3
754,2
756,3
759,1
761,1
763,1
766,1
768,1
770,1
772,1
773,2
775,1
778,3
781,1
782,1
783,1
788,8
790,2
791,2
793,1
794,4
795,1
796,1
797,1
799,1
800,165
801,1
804,2
810,3
816,1
821,1
825,1
827,1
830,2
832,1
839,1
843,1
846,1
849,1
851,2
854,1
856,3
857,1
858,2
866,1
867,2
875,1
890,1
893,1
896,1
899,2
900,124
902,1
905,1
912,1
914,1
918,1
924,1
925,1
939,3
940,1
941,2
942,2
944,1
945,1
946,1
947,1
951,1
952,1
956,1
957,1
958,1
960,2
961,2
966,1
974,1
975,1
977,1
979,1
982,1
987,1
990,1
993,1
995,2
996,1
1000,142
1006,1
1009,1
1017,1
1019,1
1020,8
1025,1
1026,1
1028,2
1032,1
1042,2
1046,1
1049,1
1055,1
1060,1
1067,1
1077,1
1082,1
1084,1
1085,1
1089,1
1090,2
1091,2
1094,1
1096,1
1098,1
1100,45
1106,1
1109,3
1125,1
1133,3
1147,1
1148,1
1150,1
1159,1
1162,2
1170,1
1172,1
1175,1
1177,1
1179,1
1181,1
1196,1
1198,1
1199,1
1200,43
1213,1
1226,1
1237,4
1239,1
1244,1
1247,2
1250,1
1270,1
1271,1
1282,1
1287,2
1296,1
1298,1
1300,33
1310,1
1311,1
1314,1
1327,1
1335,1
1370,1
1372,1
1373,1
1381,1
1390,1
1399,1
1400,26
1458,1
1481,1
1498,1
1500,23
1521,1
1541,1
1553,1
1576,1
1586,2
1598,1
1600,9
1604,1
1605,1
1621,1
1625,1
1641,1
1661,1
1669,1
1675,1
1679,1
1687,1
1700,13
1715,1
1730,1
1750,1
1763,1
1767,1
1770,1
1775,1
1777,1
1790,1
1799,1
1800,20
1816,1
1818,1
1834,1
1850,1
1872,1
1887,1
1895,1
1900,7
1955,1
1994,1
1999,1
2000,10
2014,1
2015,1
2023,1
2055,1
2067,1
2081,1
2100,5
2112,1
2160,1
2189,1
2200,10
2212,1
2265,1
2300,3
2324,1
2335,1
2367,1
2370,1
2400,1
2415,1
2453,1
2470,1
2490,1
2500,4
2518,1
2522,1
2559,1
2587,1
2600,4
2630,1
2635,1
2659,1
2700,7
2800,4
2805,1
2830,1
2837,1
2864,1
2900,7
2929,1
2957,1
3000,5
3076,1
3100,4
3157,1
3200,3
3500,2
3580,1
3584,1
3702,1
3863,1
3900,2
4000,1
4340,1
4400,2
4437,1
4439,1
4500,1
4600,1
4794,1
5000,2
5131,1
5171,1
5350,1
5461,1
5700,1
5800,1
6000,1
6222,1
6549,1
6995,1
7163,1
7465,1
8000,1
10000,2
33400,1
109838,1
