quantity,count
1,1097
2,206
3,132
4,114
5,514
6,89
7,66
8,51
9,50
10,752
11,39
12,55
13,45
14,12
15,107
16,12
17,22
18,13
19,18
20,160
21,46
22,34
23,32
24,83
25,96
26,56
27,72
28,315
29,21
30,199
31,9
32,158
33,22
34,14
35,25
36,22
37,25
38,4
39,45
40,94
41,33
42,5
43,15
44,13
45,54
46,14
47,32
48,18
49,4
50,328
51,35
52,22
53,19
54,8
55,12
56,12
57,13
58,10
59,15
60,15
61,10
62,9
63,15
64,27
65,13
66,9
67,9
68,26
69,13
70,20
71,7
72,60
73,25
74,15
75,32
76,13
77,8
78,9
79,14
80,22
81,22
82,24
83,11
84,6
85,11
86,10
87,16
88,17
89,12
90,33
91,15
92,8
93,73
94,14
95,20
96,18
97,31
98,33
99,38
100,60829
101,3
102,13
103,10
104,16
105,8
106,17
107,8
108,7
109,10
110,7
111,3
112,3
113,4
114,3
115,10
116,2
117,13
118,4
119,14
120,14
121,17
122,13
123,13
124,10
125,19
126,10
127,19
128,11
129,8
130,16
131,15
132,6
133,22
134,16
135,10
136,11
137,14
138,12
139,12
140,15
141,19
142,13
143,14
144,11
145,7
146,2
147,3
148,2
150,43
151,1
153,3
154,1
155,4
156,8
157,4
158,2
159,9
160,3
161,2
162,89
163,6
164,18
165,2
166,9
167,1
168,1
169,4
170,2
171,2
172,2
174,4
175,5
176,2
177,2
178,1
179,1156
180,10
181,2
182,4
183,3
184,2
185,1
186,1
187,2
189,3
190,4
191,2
192,2
193,4
194,5
195,2
196,1
197,4
198,2
199,5
200,6239
201,1
203,3
204,1
205,25
210,5
212,1
213,41
214,252
215,2
217,1
220,4
224,1
225,7
226,8
228,1
229,1
230,1
235,2
237,2
242,1
249,2
250,44
253,2
254,1
255,1
259,1
260,1
262,1
265,1
272,7
276,2
283,6
284,1
288,5
297,2
300,1601
306,14
312,1
317,1
318,1
324,1
325,4
329,1
330,1
333,1
334,1
335,1
345,1
346,1
349,4
350,5
360,2
365,1
378,1
381,5
390,2
391,1
395,1
400,680
410,2
414,1
421,2
425,1
430,1
435,3
446,1
450,2
454,1
458,9
475,2
476,1
480,2
498,2
500,295
502,1
512,1
524,118
541,36
544,65
555,1
556,3
579,8
580,1
600,181
621,5
628,45
630,1
650,1
700,117
711,1
750,1
779,1
795,8
800,54
870,3
881,1
896,2
900,81
990,1
1000,218
1034,1
1100,6
1193,1
1200,9
1236,1
1298,2
1300,5
1330,1
1389,2
1400,2
1434,1
1500,1
1600,3
1635,1
1658,1
1677,2
1691,1
1700,3
1722,1
1796,1
1800,2
2000,71
2019,1
2100,3
2200,4
2300,2
2400,3
2473,2
2500,10
2600,1
2742,1
2777,1
2800,6
2900,5
2996,1
3000,11
3005,1
3015,2
3100,5
3115,1
3200,2
3400,2
3500,2
3600,2
3800,1
4000,5
4100,1
4600,1
4800,1
4900,1
5000,3
5322,1
5500,1
6000,1
6500,1
8398,1
12700,1
